sensor,sample_index,Acc_X,Acc_Y,Acc_Z
Wrist,0,0.588054,11.367559,1.873407
Wrist,1,0.73234,11.193796,1.47774
Wrist,2,1.203984,12.089395,1.419151
Wrist,3,1.667184,13.778919,1.680596
Wrist,4,1.7967,14.638182,1.711023
Wrist,5,1.938987,15.041985,1.680832
Wrist,6,2.35448,14.845945,1.500374
Wrist,7,2.757529,14.292322,1.346224
Wrist,8,3.079887,13.465273,1.140192
Wrist,9,3.145303,12.708459,0.960321
Wrist,10,3.163705,11.969048,0.803848
Wrist,11,3.157829,11.638877,0.766389
Wrist,12,3.220947,11.559548,0.711592
Wrist,13,3.114236,11.559411,0.628716
Wrist,14,3.276741,11.352984,0.351151
Wrist,15,3.824274,11.069092,-0.136273
Wrist,16,4.279076,10.53366,-0.561505
Wrist,17,4.217691,10.014455,-0.980038
Wrist,18,3.870791,9.846318,-1.158297
Wrist,19,3.627265,9.40273,-1.426887
Wrist,20,3.469614,9.311431,-1.601567
Wrist,21,3.314959,9.548262,-1.526416
Wrist,22,3.148674,9.702191,-1.361753
Wrist,23,3.205108,9.420021,-1.383262
Wrist,24,3.54138,9.033426,-1.453915
Wrist,25,3.845326,8.540072,-1.63508
Wrist,26,4.000819,7.940036,-1.66422
Wrist,27,4.004299,7.448765,-1.604335
Wrist,28,3.923725,6.778975,-1.733826
Wrist,29,3.964225,6.22534,-1.752383
Wrist,30,3.807762,5.653679,-1.843012
Wrist,31,3.91352,5.238928,-1.848845
Wrist,32,4.239609,5.125317,-1.716244
Wrist,33,4.310693,5.717756,-1.259246
Wrist,34,3.970912,6.926986,-0.604574
Wrist,35,3.526558,8.282779,-0.023722
Wrist,36,3.170858,8.983292,0.154336
Wrist,37,3.057424,8.675015,0.09499
Wrist,38,3.183062,7.39364,-0.335028
Wrist,39,3.338444,5.985124,-0.677436
Wrist,40,3.561758,5.227429,-0.657585
Wrist,41,3.431152,5.215277,-0.582481
Wrist,42,2.799872,5.743021,-0.311644
Wrist,43,2.322578,7.048839,0.033743
Wrist,44,1.800953,8.402922,0.360605
Wrist,45,1.828866,9.433333,0.605272
Wrist,46,2.569306,10.273938,0.887131
Wrist,47,2.868649,10.299043,0.959431
Wrist,48,2.477712,8.71161,0.568436
Wrist,49,1.917349,6.809313,0.12159
Wrist,50,1.185354,6.216759,0.267903
Wrist,51,0.404301,6.36828,0.442223
Wrist,52,0.123475,7.741151,0.629964
Wrist,53,0.455762,9.751171,0.978272
Wrist,54,0.854954,10.703711,0.980178
Wrist,55,0.818324,10.773435,0.963913
Wrist,56,0.442461,10.095304,0.84647
Wrist,57,-0.057462,8.859972,0.688511
Wrist,58,-0.111292,8.206078,0.797806
Wrist,59,-0.075896,8.423047,1.140551
Wrist,60,-0.09423,8.940767,1.443153
Wrist,61,-0.086858,9.109395,1.609635
Wrist,62,-0.082333,9.532206,1.794488
Wrist,63,-0.268584,10.468166,2.071862
Wrist,64,-0.243181,11.038114,2.394329
Wrist,65,-0.076606,11.002532,2.73113
Wrist,66,0.183697,10.675564,3.166619
Wrist,67,0.116304,9.933594,3.435432
Wrist,68,-0.257117,9.130555,3.564035
Wrist,69,-0.304077,8.788952,3.758066
Wrist,70,-0.180165,8.364656,3.583126
Wrist,71,0.09029,8.004888,3.364807
Wrist,72,0.287178,8.299054,3.306989
Wrist,73,0.494404,9.13161,3.305655
Wrist,74,0.821162,9.547231,3.195736
Wrist,75,0.978391,9.719283,2.912551
Wrist,76,1.189558,9.649657,2.701205
Wrist,77,1.301628,9.620143,2.726331
Wrist,78,1.242609,9.315524,2.619776
Wrist,79,1.331049,9.402552,2.599691
Wrist,80,1.287175,9.61671,2.71862
Wrist,81,1.3323,9.910476,2.802989
Wrist,82,1.395387,10.096755,3.045891
Wrist,83,1.399998,9.873917,2.924046
Wrist,84,1.511114,9.459306,2.656889
Wrist,85,1.680679,9.336589,2.526931
Wrist,86,1.697128,9.243628,2.430577
Wrist,87,1.642369,9.369598,2.420998
Wrist,88,1.522077,9.791024,2.577494
