sensor,sample_index,Acc_X,Acc_Y,Acc_Z
Wrist,0,2.608698,9.957816,3.612708
Wrist,1,2.572783,9.542139,3.590124
Wrist,2,2.457788,9.023939,3.467705
Wrist,3,2.415416,8.557228,3.374608
Wrist,4,2.555405,8.234123,3.315666
Wrist,5,2.644213,8.022279,3.208273
Wrist,6,2.749792,7.754657,3.074193
Wrist,7,2.801996,7.57969,2.90334
Wrist,8,2.956255,7.415797,2.718055
Wrist,9,2.963115,7.51537,2.561144
Wrist,10,2.914464,7.964906,2.526756
Wrist,11,2.890926,8.081791,2.454928
Wrist,12,2.78159,7.75337,2.271315
Wrist,13,2.615092,7.16778,1.954081
Wrist,14,2.343553,6.783196,1.630063
Wrist,15,2.389288,6.339192,1.380332
Wrist,16,2.348059,6.00016,1.315572
Wrist,17,2.28692,5.836748,1.319738
Wrist,18,2.263575,5.71482,1.227063
Wrist,19,2.013867,5.897165,1.363618
Wrist,20,1.803467,6.531776,1.483251
Wrist,21,1.726005,7.332661,1.752336
Wrist,22,1.508559,8.182506,1.922325
Wrist,23,1.507765,8.220378,1.907783
Wrist,24,1.716803,7.688025,1.70935
Wrist,25,1.762429,6.893236,1.3012
Wrist,26,1.636186,6.10266,0.977829
Wrist,27,1.448078,5.783032,0.824243
Wrist,28,1.078883,6.683112,1.028054
Wrist,29,0.802213,7.960125,1.350721
Wrist,30,0.674287,8.892625,1.573817
Wrist,31,0.659689,9.422211,1.634802
Wrist,32,0.443979,9.740544,1.939494
Wrist,33,0.428198,9.975825,2.120824
Wrist,34,0.313888,10.412263,2.327268
Wrist,35,0.279569,10.711321,2.465967
Wrist,36,0.39799,10.792592,2.613354
Wrist,37,0.38501,10.773379,2.785923
Wrist,38,0.25754,10.500756,2.967536
Wrist,39,0.226449,10.013211,3.086187
Wrist,40,0.121751,9.442952,3.296628
Wrist,41,0.066435,8.986967,3.359968
Wrist,42,0.101672,8.765875,3.432954
Wrist,43,0.344076,8.567775,3.350653
Wrist,44,0.69131,8.834507,3.588088
Wrist,45,0.842873,9.222773,3.769891
Wrist,46,0.953414,9.342625,3.934732
Wrist,47,1.193831,9.464952,3.846875
Wrist,48,1.148875,9.365941,3.821437
Wrist,49,1.080142,9.36637,3.750954
Wrist,50,1.205672,8.996376,3.667654
Wrist,51,1.313707,8.73588,3.455624
Wrist,52,1.452459,8.636636,3.40004
Wrist,53,1.285409,8.719182,3.451438
Wrist,54,1.040725,8.80495,3.535498
Wrist,55,0.7187,8.845126,3.578811
Wrist,56,0.47749,8.887935,3.646665
Wrist,57,0.499086,9.100008,3.746599
Wrist,58,0.669991,9.567726,3.979447
Wrist,59,0.57888,13.007302,6.169822
Wrist,60,0.958937,14.769919,5.001495
Wrist,61,2.449718,10.230315,3.189554
Wrist,62,1.707272,10.025429,3.870426
Wrist,63,1.17518,8.610018,4.533438
Wrist,64,1.820958,7.414279,3.607192
Wrist,65,1.857253,8.124225,3.908224
Wrist,66,1.732257,8.93144,4.046005
Wrist,67,1.870505,9.192107,4.063952
Wrist,68,1.925145,9.213664,3.979699
Wrist,69,2.095226,9.058897,3.800053
Wrist,70,2.070544,9.008354,3.529627
Wrist,71,1.996152,9.366899,3.534953
Wrist,72,1.976178,10.400727,3.977345
Wrist,73,2.196195,9.532492,3.523925
Wrist,74,2.054063,9.470532,3.722718
Wrist,75,2.087,9.317115,3.951901
Wrist,76,2.035311,9.202963,3.818458
Wrist,77,2.028294,9.074602,3.820565
Wrist,78,1.945607,9.282245,3.894835
Wrist,79,1.740459,9.395768,3.974012
Wrist,80,1.654577,9.708021,4.060234
Wrist,81,1.536834,10.156833,4.299277
Wrist,82,1.637601,10.428375,4.296591
Wrist,83,1.604435,10.490644,4.296245
Wrist,84,1.615182,10.566113,4.262319
Wrist,85,1.569064,10.642933,4.29297
Wrist,86,1.614536,10.650432,4.25022
Wrist,87,1.787145,10.627496,4.120033
Wrist,88,1.904248,10.530648,4.052259
Wrist,89,2.043744,10.470217,3.891187
Wrist,90,2.181167,10.586233,3.811457
Wrist,91,2.265993,10.655886,3.743683
Wrist,92,2.335739,10.537371,3.668454
Wrist,93,2.475803,10.33856,3.481419
Wrist,94,2.708611,10.116691,3.247757
Wrist,95,2.709774,9.970789,3.232799
Wrist,96,2.582702,9.737109,3.087825
Wrist,97,2.544801,9.68573,3.081183
Wrist,98,2.500112,9.685307,3.019043
Wrist,99,2.540075,9.836829,3.094359
Wrist,100,2.486408,10.111895,3.21042
Wrist,101,2.424214,10.103865,3.357333
Wrist,102,2.58678,9.976472,3.274015
Wrist,103,2.417007,10.087587,3.349324
Wrist,104,2.333798,10.171916,3.434096
Wrist,105,2.408134,9.863309,3.313058
Wrist,106,2.353421,9.598729,3.256175
Wrist,107,2.707988,9.282344,3.05075
Wrist,108,2.648098,9.320811,2.95424
Wrist,109,2.601759,9.545128,3.005668
Wrist,110,2.607597,9.705701,2.990157
Wrist,111,2.641545,9.69488,2.929684
Wrist,112,2.579026,9.715441,2.97272
Wrist,113,2.639243,9.551758,2.79027
Wrist,114,2.583305,9.542889,2.73071
Wrist,115,2.832861,9.541925,2.649411
Wrist,116,2.99342,9.191249,2.459085
Wrist,117,3.074557,9.02522,2.300564
Wrist,118,3.028609,8.996317,2.296584
Wrist,119,3.041327,8.823432,2.185288
Wrist,120,3.146673,8.797553,2.178102
Wrist,121,3.216763,8.796297,2.229727
Wrist,122,3.402828,8.784206,2.243738
Wrist,123,3.549246,8.508259,2.153441
Wrist,124,3.661651,8.48578,2.199586
Wrist,125,3.848591,8.33578,2.138689
Wrist,126,3.891285,8.068529,2.096725
Wrist,127,3.927044,7.900453,2.072405
Wrist,128,3.987512,7.586265,2.036479
Wrist,129,4.096259,7.345731,1.946678
Wrist,130,4.170692,7.285921,1.944199
Wrist,131,4.032394,7.310407,1.948432
Wrist,132,4.255148,7.186474,1.87548
Wrist,133,4.289811,7.32439,1.826606
Wrist,134,4.242265,7.516116,1.850584
Wrist,135,4.286727,7.733405,1.842282
Wrist,136,4.15568,7.747522,1.905657
Wrist,137,4.025038,7.649872,1.886103
Wrist,138,4.044575,7.519822,1.926182
Wrist,139,4.109942,7.480071,1.884581
Wrist,140,4.134395,7.592751,1.886529
Wrist,141,4.259667,7.489029,1.8902
Wrist,142,4.248173,7.426426,1.885878
Wrist,143,4.295817,7.336997,1.841278
Wrist,144,4.429407,7.389574,1.903892
Wrist,145,4.438759,7.369621,1.841014
Wrist,146,4.37675,7.374282,1.802046
Wrist,147,4.397003,7.410464,1.783494
Wrist,148,4.369956,7.400227,1.788192
Wrist,149,4.446102,7.586153,1.727497
Wrist,150,4.452649,7.735719,1.772716
Wrist,151,4.398756,7.727191,1.726305
Wrist,152,4.36838,7.855115,1.751242
Wrist,153,4.347053,8.270827,1.884025
Wrist,154,4.243355,8.709168,2.012405
Wrist,155,4.211858,8.844841,2.053324
Wrist,156,4.185041,8.906499,2.105281
Wrist,157,4.139682,8.918072,2.172083
Wrist,158,4.190961,8.88115,2.213655
Wrist,159,4.197345,8.83394,2.194083
Wrist,160,4.19292,8.731665,2.132131
Wrist,161,4.210523,8.826468,2.059198
Wrist,162,4.030126,8.897137,2.080753
Wrist,163,4.008263,8.885364,1.953709
Wrist,164,3.909242,8.893174,1.822282
Wrist,165,3.819657,8.913066,1.788175
Wrist,166,3.698388,8.943894,1.657933
Wrist,167,3.605577,8.911491,1.6044
Wrist,168,3.460457,8.850701,1.546303
Wrist,169,3.30557,8.686615,1.452711
Wrist,170,3.067032,8.500996,1.412743
Wrist,171,2.971761,8.359723,1.260585
Wrist,172,2.980102,8.016094,1.021214
Wrist,173,3.010468,7.661659,0.691507
Wrist,174,2.952487,7.581242,0.569946
Wrist,175,2.810553,7.634638,0.518162
Wrist,176,2.617627,7.845348,0.64973
Wrist,177,2.739301,8.177434,0.753977
Wrist,178,2.789827,8.53772,0.741876
Wrist,179,2.702022,8.686787,0.717451
Wrist,180,2.942913,8.659148,0.700109
Wrist,181,3.069278,8.58484,0.637715
Wrist,182,2.964231,8.474696,0.633328
Wrist,183,3.093547,8.407008,0.53581
Wrist,184,3.175064,8.400081,0.51997
Wrist,185,3.510817,8.485635,0.603831
Wrist,186,3.844467,8.673414,0.799952
Wrist,187,3.817857,8.72422,0.96913
Wrist,188,3.677717,8.634711,1.306754
Wrist,189,3.505519,8.638582,1.516612
Wrist,190,3.391067,8.624418,1.637463
Wrist,191,3.256934,8.486459,1.768788
Wrist,192,3.109284,8.279472,1.660374
Wrist,193,3.224592,8.164165,1.631907
Wrist,194,3.544359,7.976332,1.490055
Wrist,195,3.635154,7.873905,1.329872
Wrist,196,3.551228,7.957782,1.209973
Wrist,197,3.658054,7.953795,1.090104
Wrist,198,3.692926,7.912985,1.018109
Wrist,199,3.521216,8.085879,0.922453
Wrist,200,3.377968,8.251512,0.871015
Wrist,201,3.264467,8.441976,0.87906
Wrist,202,3.306979,8.797235,0.802991
Wrist,203,3.337278,9.193612,0.841091
Wrist,204,3.576087,9.499767,0.947799
Wrist,205,3.87563,9.479822,0.819655
Wrist,206,3.869809,9.526006,0.816703
Wrist,207,4.113793,9.598204,0.849097
Wrist,208,4.167729,9.542399,0.887777
Wrist,209,3.960583,9.300033,0.929665
Wrist,210,3.743235,9.160168,0.911555
Wrist,211,3.643997,9.080396,0.893135
Wrist,212,3.358194,8.967836,1.0263
Wrist,213,3.347088,9.07429,1.059055
Wrist,214,3.54672,9.253339,1.034752
Wrist,215,3.725257,9.364962,1.175838
Wrist,216,3.956735,9.712915,1.444649
Wrist,217,3.972604,9.839832,1.599858
Wrist,218,3.793481,9.874971,1.767457
Wrist,219,3.437313,9.847771,2.083798
Wrist,220,3.094731,9.667414,2.223099
Wrist,221,2.699889,9.26525,2.28104
Wrist,222,2.31969,9.015123,2.326711
Wrist,223,2.074414,8.458965,2.229479
Wrist,224,2.134853,8.077663,2.126562
Wrist,225,2.493236,8.03095,1.947456
Wrist,226,2.773576,8.018003,1.902965
Wrist,227,3.095821,8.102587,1.940101
Wrist,228,3.387649,8.374076,2.257519
Wrist,229,3.476968,8.634124,2.62889
Wrist,230,3.398294,8.884069,3.006087
Wrist,231,3.04678,8.886724,3.353071
Wrist,232,2.335196,8.864968,3.60475
Wrist,233,1.556829,8.789088,3.83319
Wrist,234,1.087263,8.741173,4.019898
Wrist,235,1.050734,8.651862,3.97403
Wrist,236,1.182361,8.794278,4.019379
Wrist,237,1.387928,9.275163,4.02014
Wrist,238,1.56961,9.714955,4.106082
Wrist,239,1.518636,10.237458,4.189176
Forearm,0,-1.632947,6.316913,7.712245
Forearm,1,-1.36185,6.341035,7.670972
Forearm,2,-1.134543,6.420805,7.588786
Forearm,3,-1.035856,6.406282,7.582216
Forearm,4,-1.000395,6.292049,7.55527
Forearm,5,-0.910008,6.074527,7.472395
Forearm,6,-0.812569,5.846043,7.46549
Forearm,7,-0.62919,5.692899,7.476821
Forearm,8,-0.319764,5.73349,7.54496
Forearm,9,0.011782,5.879029,7.575727
Forearm,10,0.268798,6.153214,7.535714
Forearm,11,0.373528,6.287499,7.451313
Forearm,12,0.385994,6.38073,7.426083
Forearm,13,0.476868,6.33129,7.356876
Forearm,14,0.693846,6.252556,7.225986
Forearm,15,0.800277,5.968665,7.085239
Forearm,16,0.846289,5.780491,7.021512
Forearm,17,0.970258,5.571876,7.032252
Forearm,18,1.084943,5.489999,6.990073
Forearm,19,1.137008,5.422928,6.909264
Forearm,20,1.053889,5.453028,6.80846
Forearm,21,0.910038,5.578723,6.793931
Forearm,22,0.697984,5.791737,6.84687
Forearm,23,0.586957,6.062361,6.95335
Forearm,24,0.445005,6.061306,6.984329
Forearm,25,0.243235,5.958761,7.032259
Forearm,26,0.068156,5.655225,7.016092
Forearm,27,-0.016072,5.380423,7.139728
Forearm,28,-0.031724,5.105946,7.17195
Forearm,29,-0.175728,4.88709,7.27735
Forearm,30,-0.412624,4.635626,7.288996
Forearm,31,-0.694864,4.554703,7.288105
Forearm,32,-0.867121,4.577998,7.348035
Forearm,33,-1.122159,4.765497,7.277105
Forearm,34,-1.350318,4.993643,7.289426
Forearm,35,-1.480879,5.242784,7.277482
Forearm,36,-1.515216,5.61403,7.33712
Forearm,37,-1.529346,5.881373,7.409144
Forearm,38,-1.526133,5.936987,7.328533
Forearm,39,-1.428909,5.725397,7.289353
Forearm,40,-1.286071,5.521094,7.345419
Forearm,41,-1.125066,5.265943,7.379459
Forearm,42,-0.969039,4.969702,7.530388
Forearm,43,-0.885062,4.617464,7.530536
Forearm,44,-0.972297,4.31635,7.536716
Forearm,45,-1.13393,4.090129,7.583046
Forearm,46,-1.217208,4.020905,7.701223
Forearm,47,-1.243963,4.23891,7.884084
Forearm,48,-1.272056,4.465225,8.063023
Forearm,49,-1.288049,4.714446,8.099902
Forearm,50,-1.338584,4.804402,8.12102
Forearm,51,-1.355073,4.770867,8.121724
Forearm,52,-1.421312,4.569934,8.061776
Forearm,53,-1.410166,4.405329,8.07299
Forearm,54,-1.411215,4.212955,8.013281
Forearm,55,-1.352208,4.230485,7.95165
Forearm,56,-1.408319,4.304899,7.844773
Forearm,57,-1.454218,4.357274,7.787327
Forearm,58,-1.484399,4.494633,7.868924
Forearm,59,-1.419043,4.572354,8.001131
Forearm,60,-1.641334,4.802885,8.378868
Forearm,61,-2.140255,5.169484,8.921971
Forearm,62,-1.991135,5.545263,9.042261
Forearm,63,-1.206869,5.192863,8.807805
Forearm,64,-0.718844,4.325096,8.716401
Forearm,65,-0.387938,3.889635,8.534553
Forearm,66,-0.111567,3.980022,8.390739
Forearm,67,-0.209625,4.375513,8.310265
Forearm,68,-0.346605,4.869434,8.273796
Forearm,69,-0.397376,5.321438,8.363983
Forearm,70,-0.348021,5.500769,8.646115
Forearm,71,-0.303431,5.479167,8.756423
Forearm,72,-0.382479,5.370872,8.90871
Forearm,73,-0.56069,5.236867,8.843064
Forearm,74,-0.825789,5.01824,8.749243
Forearm,75,-0.74768,4.796215,8.7093
Forearm,76,-0.559131,4.415442,8.624851
Forearm,77,-0.449657,4.278741,8.554218
Forearm,78,-0.51694,4.445388,8.49895
Forearm,79,-0.649906,4.636803,8.461418
Forearm,80,-0.821877,4.888695,8.480657
Forearm,81,-0.91455,5.071119,8.507558
Forearm,82,-1.018743,5.097813,8.567482
Forearm,83,-1.076524,5.038058,8.547597
Forearm,84,-1.071475,4.979718,8.585439
Forearm,85,-1.179903,4.943617,8.533997
Forearm,86,-1.195684,4.928439,8.55132
Forearm,87,-1.076184,5.015502,8.633041
Forearm,88,-0.913243,5.074645,8.624224
Forearm,89,-0.832815,5.110093,8.653994
Forearm,90,-0.674135,5.136626,8.627441
Forearm,91,-0.562945,5.188532,8.643307
Forearm,92,-0.439534,5.274556,8.6486
Forearm,93,-0.299504,5.335496,8.705646
Forearm,94,-0.223509,5.382511,8.794655
Forearm,95,-0.045455,5.320734,8.778296
Forearm,96,0.067492,5.197957,8.693128
Forearm,97,0.190426,5.21603,8.658573
Forearm,98,0.304573,5.178594,8.554483
Forearm,99,0.265999,5.146958,8.411212
Forearm,100,0.291414,5.280522,8.372028
Forearm,101,0.33466,5.387164,8.439674
Forearm,102,0.348554,5.455138,8.420111
Forearm,103,0.326734,5.449718,8.378701
Forearm,104,0.347408,5.409084,8.32435
Forearm,105,0.374549,5.390981,8.348311
Forearm,106,0.433095,5.370551,8.217288
Forearm,107,0.484105,5.237653,8.082529
Forearm,108,0.582785,5.164242,8.164544
Forearm,109,0.760898,5.083348,8.116594
Forearm,110,0.871233,5.059271,8.008236
Forearm,111,0.82539,5.099827,7.948967
Forearm,112,0.742983,5.125704,7.914962
Forearm,113,0.782359,5.198983,7.945028
Forearm,114,0.959522,5.305766,7.913471
Forearm,115,1.137855,5.431778,7.935077
Forearm,116,1.32584,5.538119,7.865056
Forearm,117,1.439037,5.423888,7.823901
Forearm,118,1.535943,5.249129,7.774171
Forearm,119,1.60678,5.072307,7.650101
Forearm,120,1.711669,5.162171,7.633411
Forearm,121,1.774443,5.210472,7.622523
Forearm,122,1.984833,5.235421,7.538185
Forearm,123,2.263036,5.300107,7.516209
Forearm,124,2.457426,5.333818,7.497194
Forearm,125,2.671584,5.424452,7.450748
Forearm,126,2.781816,5.478773,7.426216
Forearm,127,2.872603,5.478315,7.361282
Forearm,128,2.965859,5.452247,7.29636
Forearm,129,3.010044,5.338513,7.187715
Forearm,130,3.096147,5.201847,7.20447
Forearm,131,3.157998,5.093371,7.13683
Forearm,132,3.186608,5.078166,7.111347
Forearm,133,3.217459,5.121288,7.039724
Forearm,134,3.252255,5.112654,7.033857
Forearm,135,3.255855,5.075795,6.991557
Forearm,136,3.220707,5.031131,6.94971
Forearm,137,3.158047,5.081759,6.917453
Forearm,138,3.051362,5.219065,6.945377
Forearm,139,3.060558,5.233615,6.952347
Forearm,140,3.140358,5.237144,6.963517
Forearm,141,3.240077,5.146162,6.935405
Forearm,142,3.297295,5.070009,6.90956
Forearm,143,3.355626,4.970686,6.882898
Forearm,144,3.404394,4.970199,6.882508
Forearm,145,3.432019,4.968627,6.865615
Forearm,146,3.414929,4.978695,6.919588
Forearm,147,3.421427,5.017681,7.012708
Forearm,148,3.446083,4.96821,7.030693
Forearm,149,3.378251,4.997154,7.089273
Forearm,150,3.268919,4.972754,7.090845
Forearm,151,3.248057,5.015893,7.134555
Forearm,152,3.20979,4.988044,7.101437
Forearm,153,3.197834,5.057235,7.197663
Forearm,154,3.143078,5.174622,7.22607
Forearm,155,3.145502,5.284808,7.202311
Forearm,156,3.1134,5.310642,7.187642
Forearm,157,3.142263,5.368198,7.247058
Forearm,158,3.21932,5.393364,7.201771
Forearm,159,3.182015,5.360408,7.235222
Forearm,160,3.179657,5.264207,7.212158
Forearm,161,3.154308,5.184523,7.240665
Forearm,162,3.148509,5.187715,7.240903
Forearm,163,3.074361,5.17439,7.27096
Forearm,164,2.981533,5.189326,7.214977
Forearm,165,2.890904,5.172509,7.259544
Forearm,166,2.768673,5.151499,7.267237
Forearm,167,2.716044,5.148445,7.24358
Forearm,168,2.628686,5.13593,7.251815
Forearm,169,2.487623,5.066769,7.18384
Forearm,170,2.30241,4.964323,7.093898
Forearm,171,2.137099,4.838371,7.054623
Forearm,172,2.046347,4.851173,7.062849
Forearm,173,2.065612,4.835148,7.108674
Forearm,174,2.295604,4.840494,7.098159
Forearm,175,2.527489,4.920907,7.076702
Forearm,176,2.655185,4.981097,7.049391
Forearm,177,2.728992,5.060667,6.934983
Forearm,178,2.626049,5.176603,6.933292
Forearm,179,2.572209,5.203761,6.930265
Forearm,180,2.563577,5.264435,6.916395
Forearm,181,2.604849,5.405946,6.947299
Forearm,182,2.583858,5.485271,6.973131
Forearm,183,2.587034,5.490578,7.020273
Forearm,184,2.639231,5.525928,7.027021
Forearm,185,2.548185,5.562313,7.020935
Forearm,186,2.443768,5.497288,7.063722
Forearm,187,2.33477,5.409479,7.01744
Forearm,188,2.492811,5.435978,6.855628
Forearm,189,2.704357,5.544037,6.950602
Forearm,190,2.740555,5.632686,6.930038
