sensor,sample_index,Acc_X,Acc_Y,Acc_Z
Wrist,0,1.654266,8.47949,4.4842
Wrist,1,1.87137,8.551776,4.311776
Wrist,2,1.691762,9.045864,4.32974
Wrist,3,1.860244,9.00591,4.115188
Wrist,4,1.883242,9.024177,3.776229
Wrist,5,1.217693,10.495182,4.372417
Wrist,6,1.537031,11.591449,4.194827
Wrist,7,1.497755,11.933162,4.102361
Wrist,8,1.442077,12.199645,3.96921
Wrist,9,1.57094,12.414487,3.932822
Wrist,10,1.647044,12.506534,3.889753
Wrist,11,1.992531,12.158292,3.647862
Wrist,12,2.276068,12.019336,3.672548
Wrist,13,2.273588,11.929954,3.815936
Wrist,14,2.413607,11.805156,3.835613
Wrist,15,2.528414,11.634644,3.871393
Wrist,16,2.500698,11.356036,3.872285
Wrist,17,2.406268,11.212665,3.983632
Wrist,18,2.27181,11.120198,4.076057
Wrist,19,2.302937,10.950166,4.102968
Wrist,20,2.446008,10.847262,4.16987
Wrist,21,2.659069,10.67295,4.093797
Wrist,22,3.26261,10.168464,3.465364
Wrist,23,3.281643,9.841179,3.140394
Wrist,24,3.431944,9.438887,2.850999
Wrist,25,3.659569,9.530756,2.593803
Wrist,26,3.528779,9.68939,2.463996
Wrist,27,3.292435,9.698108,2.440758
Wrist,28,3.274491,9.667187,2.297758
Wrist,29,3.232261,9.893926,2.378547
Wrist,30,3.184481,9.952453,2.327184
Wrist,31,3.132181,9.547049,2.194952
Wrist,32,3.08011,9.147755,2.184376
Wrist,33,3.196957,8.470008,2.057032
Wrist,34,3.139817,7.581658,1.925095
Wrist,35,3.219945,6.984863,1.961987
Wrist,36,3.249232,6.629975,2.009305
Wrist,37,3.21855,6.561229,1.970093
Wrist,38,3.359672,6.430962,1.946324
Wrist,39,3.453796,6.195083,1.818316
Wrist,40,3.499735,6.071505,1.737206
Wrist,41,3.525499,5.964288,1.711498
Wrist,42,3.600278,5.888557,1.717395
Wrist,43,3.665805,5.77371,1.689972
Wrist,44,3.684763,5.760972,1.601916
Wrist,45,3.759619,5.99586,1.609887
Wrist,46,3.775949,6.175583,1.659393
Wrist,47,3.898262,6.5472,1.767397
Wrist,48,3.778408,6.647479,1.871695
Wrist,49,3.709657,6.733357,1.976079
Wrist,50,3.821207,6.885535,2.038955
Wrist,51,3.865168,6.859616,2.115539
Wrist,52,3.813221,6.951568,2.214582
Wrist,53,3.879189,7.253317,2.326846
Wrist,54,4.021098,7.486648,2.393382
Wrist,55,4.103615,7.79846,2.490773
Wrist,56,4.082057,8.001762,2.520136
Wrist,57,4.116527,8.23354,2.576809
Wrist,58,4.248598,8.420383,2.576109
Wrist,59,4.307585,8.437875,2.475163
Wrist,60,4.335157,8.32943,2.353938
Wrist,61,4.41604,8.282178,2.273086
Wrist,62,4.474953,8.375223,2.213296
Wrist,63,4.447201,8.530908,2.168076
Wrist,64,4.352446,8.71405,2.176066
Wrist,65,4.253977,8.957989,2.128196
Wrist,66,4.044584,9.144722,2.10142
Wrist,67,3.874716,9.289203,2.000961
Wrist,68,3.556612,9.518806,1.97397
Wrist,69,3.554013,9.840575,1.913729
Wrist,70,3.518837,9.914105,1.892018
Wrist,71,3.44356,9.757947,1.824693
Wrist,72,3.25271,9.568326,1.860017
Wrist,73,3.004764,9.306485,1.837711
Wrist,74,2.816672,8.762203,1.7424
Wrist,75,2.517818,8.353001,1.799904
Wrist,76,2.291529,8.286216,1.814131
Wrist,77,2.186605,8.195155,1.862326
Wrist,78,2.291378,8.054985,1.884493
Wrist,79,2.284061,7.878968,1.701066
Wrist,80,2.483945,7.635986,1.390002
Wrist,81,2.735349,7.665808,1.234686
Wrist,82,2.864189,7.854102,1.023196
Wrist,83,2.947032,8.037733,0.903578
Wrist,84,2.962654,8.074198,0.818919
Wrist,85,3.069076,7.892114,0.747552
Wrist,86,3.231758,7.674795,0.691189
Wrist,87,3.390183,7.464555,0.724414
Wrist,88,3.662335,7.350396,0.77156
Wrist,89,3.585886,7.2346,0.872402
Wrist,90,3.729633,6.896587,0.813504
Wrist,91,3.946637,6.759916,0.771266
Wrist,92,4.289864,6.703593,0.684173
Wrist,93,4.756219,6.788616,0.74812
Wrist,94,4.975539,7.026341,0.874569
Wrist,95,4.996621,7.250761,0.975367
Wrist,96,4.964363,7.186541,1.025921
Wrist,97,4.793567,7.397033,1.329381
Wrist,98,4.676366,7.711441,1.567184
Wrist,99,4.27238,8.190883,1.938349
Wrist,100,4.181457,8.422564,1.98783
Wrist,101,4.523748,8.5969,1.963211
Wrist,102,5.058045,8.449573,1.717075
Wrist,103,5.103365,8.383867,1.706976
Wrist,104,5.027931,8.19446,1.526764
Wrist,105,4.799414,8.035749,1.459585
Wrist,106,4.566843,8.090034,1.46531
Wrist,107,4.464962,8.204288,1.353128
Wrist,108,4.336001,8.393881,1.223521
Wrist,109,4.130809,8.709497,1.224095
Wrist,110,4.121846,9.199475,1.346102
Wrist,111,4.313291,9.552532,1.323125
Wrist,112,4.508685,9.630408,1.418022
Wrist,113,4.610956,9.493531,1.448568
Wrist,114,4.527353,9.066833,1.469203
Wrist,115,4.406392,8.637279,1.374079
Wrist,116,4.166833,8.259355,1.388379
Wrist,117,3.815652,7.736954,1.324432
Wrist,118,3.417113,7.026669,1.317187
Wrist,119,2.972571,6.588384,1.334874
Wrist,120,2.814417,6.43503,1.362376
Wrist,121,2.769011,6.700821,1.463522
Wrist,122,2.708693,8.157069,1.79454
Wrist,123,3.008077,9.405206,2.067344
Wrist,124,3.48831,10.556322,2.440339
Wrist,125,3.582107,11.415527,2.75794
Wrist,126,3.579957,11.83261,2.846303
Wrist,127,3.368686,11.225283,2.692355
Wrist,128,3.174672,10.199086,2.552716
Wrist,129,3.003171,9.538346,2.612445
Wrist,130,2.834955,9.375007,2.687262
Wrist,131,2.704471,9.969996,2.732279
Wrist,132,2.536422,10.946369,2.902334
Wrist,133,2.407881,11.449104,2.929937
Wrist,134,2.261381,12.090821,2.997814
Wrist,135,2.227646,12.61966,3.068824
Wrist,136,2.264531,12.829461,3.057235
Wrist,137,2.377068,12.781556,2.960226
Wrist,138,2.387543,12.479461,2.855381
Wrist,139,2.305245,12.051542,2.731762
Wrist,140,2.173139,11.868858,2.735254
Wrist,141,2.073508,11.451908,2.642412
Wrist,142,1.790608,10.918172,2.682321
Wrist,143,1.700762,10.468662,2.742118
Wrist,144,1.757634,9.96809,2.747875
Wrist,145,2.8224,10.300629,3.101682
Wrist,146,2.162535,10.997248,3.027082
Wrist,147,2.307005,11.879166,3.585926
Wrist,148,2.090308,13.170998,3.93764
Wrist,149,1.711477,14.110219,4.487931
Wrist,150,1.975053,13.434508,3.891855
Wrist,151,1.713086,12.504412,3.85778
Wrist,152,1.302975,11.336666,3.711664
Wrist,153,0.993922,10.00211,3.3122
Wrist,154,0.630078,8.962958,3.040785
Wrist,155,0.422587,8.269081,2.791187
Wrist,156,0.345976,7.814422,2.528923
Wrist,157,0.2924,7.757168,2.420928
Wrist,158,0.219416,7.899812,2.334916
Wrist,159,0.134518,8.439072,2.535636
Wrist,160,0.166483,9.111278,2.746322
