sensor,sample_index,Acc_X,Acc_Y,Acc_Z
Wrist,0,0.990903,10.583027,2.538107
Wrist,1,1.122092,10.407745,2.674585
Wrist,2,1.29352,10.059205,2.895996
Wrist,3,1.325372,9.633099,3.059022
Wrist,4,1.641422,9.096314,2.931472
Wrist,5,1.849354,8.371766,2.835683
Wrist,6,1.984645,8.139806,2.989616
Wrist,7,2.096932,8.216388,3.169201
Wrist,8,2.012279,8.282348,3.3157
Wrist,9,1.888802,8.336288,3.518415
Wrist,10,1.964968,8.179857,3.683461
Wrist,11,1.963755,8.130511,3.707921
Wrist,12,2.437499,9.226481,4.850442
Wrist,13,0.556436,21.195768,11.506742
Wrist,14,3.341594,10.209813,-0.069749
Wrist,15,2.530158,11.310591,4.281275
Wrist,16,2.214357,9.177271,5.372941
Wrist,17,2.55084,7.485983,4.861484
Wrist,18,2.440672,6.636733,3.892711
Wrist,19,2.789805,7.196617,3.928476
Wrist,20,2.841756,9.492373,4.816587
Wrist,21,2.461533,8.877764,4.196265
Wrist,22,2.01808,9.222969,3.952745
Wrist,23,2.186813,9.831867,3.933096
Wrist,24,2.365892,9.47643,3.804618
Wrist,25,2.627354,9.235596,4.023172
Wrist,26,2.622994,8.919975,4.258533
Wrist,27,2.496772,8.644517,4.419088
Wrist,28,2.259823,8.435189,4.575816
Wrist,29,2.225231,8.471013,4.640051
Wrist,30,2.144368,8.546432,4.683176
Wrist,31,2.106682,8.680172,4.553045
Wrist,32,2.201597,8.728113,4.557876
Wrist,33,2.234315,8.862374,4.540601
Wrist,34,2.207414,8.927006,4.481712
Wrist,35,2.291798,9.107695,4.581676
Wrist,36,2.342052,9.456665,4.774919
Wrist,37,2.129681,9.8127,4.878607
Wrist,38,1.993138,10.224749,4.903688
Wrist,39,2.091456,10.695448,4.936972
Wrist,40,2.390591,10.988054,4.573656
Wrist,41,2.614322,11.024471,4.50535
Wrist,42,2.793566,11.068572,4.367189
Wrist,43,2.929403,11.197845,4.249801
Wrist,44,3.178843,11.369626,4.081618
Wrist,45,3.331538,11.653898,4.129942
Wrist,46,3.338568,11.724663,4.144899
Wrist,47,3.370805,11.749783,4.036088
Wrist,48,3.413563,11.514652,3.937982
Wrist,49,3.416464,11.364875,3.826053
Wrist,50,3.268927,11.185077,3.721982
Wrist,51,3.274187,11.264792,3.660628
Wrist,52,3.387378,11.329427,3.637836
Wrist,53,3.520923,11.03662,3.445343
Wrist,54,3.348966,11.032798,3.399424
Wrist,55,3.230371,11.151425,3.419457
Wrist,56,3.167017,11.131484,3.388077
Wrist,57,2.935356,11.239211,3.348513
Wrist,58,2.817816,11.199419,3.265594
Wrist,59,2.948144,11.046467,3.16138
Wrist,60,2.994067,10.814426,3.049779
Wrist,61,3.265081,10.369917,2.781744
Wrist,62,3.499928,9.856051,2.486405
Wrist,63,3.5183,9.60419,2.335666
Wrist,64,3.574323,9.392092,2.24428
Wrist,65,3.530384,9.277435,2.101338
Wrist,66,3.708717,8.869128,1.907372
Wrist,67,3.661777,8.234798,1.677861
Wrist,68,3.950665,7.681477,1.481186
Wrist,69,4.216314,7.09806,1.327817
Wrist,70,4.350794,6.74629,1.374876
Wrist,71,4.474918,6.486284,1.384405
Wrist,72,4.600655,5.549433,1.213591
Wrist,73,4.675929,4.589346,1.23748
Wrist,74,4.769473,3.244182,1.30297
Wrist,75,4.599697,1.823071,1.281271
Wrist,76,4.56984,1.022655,1.254863
Wrist,77,4.243354,1.102691,1.157526
Wrist,78,4.193858,2.428367,1.00816
Wrist,79,4.113148,5.141461,1.000036
Wrist,80,3.627209,7.195605,0.67712
Wrist,81,3.237707,8.587164,0.306789
Wrist,82,3.019279,9.199478,-0.213786
Wrist,83,3.161674,9.442533,-0.441616
Wrist,84,3.537954,9.026761,-0.533215
Wrist,85,3.922562,8.339069,-0.339146
Wrist,86,4.352425,7.48321,0.011272
Wrist,87,4.56874,6.887655,0.374716
Wrist,88,4.735778,6.669031,0.753481
Wrist,89,4.863223,6.61465,0.943033
Wrist,90,5.003146,6.732651,1.220083
Wrist,91,4.941294,7.048465,1.291526
Wrist,92,4.948621,7.566393,1.331297
Wrist,93,5.055036,8.078922,1.292883
Wrist,94,5.031835,8.295701,1.325498
Wrist,95,4.908593,8.429769,1.365869
Wrist,96,4.883427,8.503568,1.316278
Wrist,97,4.898425,8.634796,1.284109
Wrist,98,4.892263,8.677405,1.197809
Wrist,99,4.860204,8.6657,1.108947
Wrist,100,4.859086,8.570608,0.972064
Wrist,101,4.794045,8.553043,0.872875
Wrist,102,4.816041,8.534952,0.732129
Wrist,103,4.836364,8.740691,0.699997
Wrist,104,4.835393,8.945814,0.679735
Wrist,105,4.635969,8.951089,0.643025
Wrist,106,4.500675,8.989523,0.628022
Wrist,107,4.383684,8.861013,0.543274
Wrist,108,4.284354,8.666174,0.500378
Wrist,109,4.326063,8.610765,0.468727
Wrist,110,4.448328,8.524365,0.38415
Wrist,111,4.349915,8.418037,0.410415
Wrist,112,4.316851,8.221638,0.350569
Wrist,113,4.17714,8.115729,0.287914
Wrist,114,4.106818,7.984891,0.200806
Wrist,115,4.163782,8.042586,0.337261
Wrist,116,4.094711,8.156102,0.433893
Wrist,117,3.816703,8.131358,0.550294
Wrist,118,3.517242,7.959122,0.684588
Wrist,119,3.420021,7.907513,0.721188
Wrist,120,3.57296,7.885806,0.586157
Wrist,121,3.554856,7.807884,0.480028
Wrist,122,3.67929,7.721232,0.40038
Wrist,123,3.687854,7.661192,0.361774
Wrist,124,3.769637,7.739086,0.449366
Wrist,125,3.851731,7.405622,0.306843
Wrist,126,3.691283,7.163806,0.286054
Wrist,127,3.631012,7.047418,0.324524
Wrist,128,3.720071,6.945916,0.276507
Wrist,129,4.023005,6.831692,0.027264
Wrist,130,4.065607,6.714579,-0.076134
Wrist,131,4.38068,7.022849,0.008273
Wrist,132,4.742901,7.263167,0.105962
Wrist,133,4.423782,7.451258,0.351588
Wrist,134,4.047461,7.773556,0.62369
Wrist,135,3.840141,7.768848,0.954089
Wrist,136,3.689103,7.504496,1.171669
Wrist,137,3.486157,7.502603,1.419387
Wrist,138,3.261597,7.568195,1.716589
Wrist,139,3.381965,7.788569,1.756647
Wrist,140,3.566632,8.021639,1.723743
Wrist,141,3.951282,8.193877,1.677943
Wrist,142,4.427374,8.305395,1.569211
Wrist,143,4.463043,8.373879,1.672139
Wrist,144,4.420096,8.673959,2.099699
Wrist,145,4.18029,8.564276,2.276427
Wrist,146,3.740894,8.287458,2.393441
Wrist,147,3.278584,8.039827,2.58959
Wrist,148,3.147094,8.19532,2.713492
Wrist,149,3.126203,8.273159,2.563409
Wrist,150,3.026521,8.458446,2.492074
Wrist,151,3.237421,8.907355,2.311653
Wrist,152,3.365621,9.357497,2.074823
Wrist,153,3.615296,9.778162,1.99003
Wrist,154,3.74869,10.283157,2.095257
Wrist,155,3.977242,10.400548,2.282864
Wrist,156,3.834039,10.335362,2.524953
Wrist,157,3.258938,10.022673,2.767945
Wrist,158,2.591789,9.551823,2.901004
Wrist,159,2.108716,8.717214,2.807771
Wrist,160,1.880552,8.32036,2.680764
Wrist,161,1.854167,8.401544,2.611365
Wrist,162,1.933975,8.987023,2.556589
Wrist,163,2.340629,10.183274,2.657439
Wrist,164,2.866386,11.240748,2.901694
Wrist,165,3.056758,11.806443,3.069925
Wrist,166,2.846674,12.028707,3.355963
Wrist,167,2.494806,11.893168,3.616378
Wrist,168,2.002159,11.471032,3.745188
Wrist,169,1.593093,10.605685,3.772998
Wrist,170,1.446693,9.986083,3.694953
Wrist,171,1.246563,9.977622,3.890855
Wrist,172,1.276324,10.28538,3.94044
Wrist,173,1.322872,11.141994,4.143763
Wrist,174,1.347207,11.884546,4.323802
Wrist,175,1.485842,11.992347,4.359048
Wrist,176,1.418497,11.988283,4.481513
Wrist,177,1.408007,11.558475,4.498172
Wrist,178,1.222277,11.060396,4.41623
Wrist,179,0.967157,10.831771,4.372352
Wrist,180,0.879528,10.605159,4.21093
Wrist,181,0.877169,10.496163,4.193381
Wrist,182,0.906706,10.443898,4.080256
Wrist,183,0.901079,10.420868,3.860566
Wrist,184,0.83127,10.157461,3.637257
Wrist,185,0.8177,9.919392,3.372601
Wrist,186,0.838333,9.691711,3.169599
Wrist,187,0.687624,9.910741,3.034966
Wrist,188,0.517133,10.083561,2.932018
Wrist,189,0.612616,10.238119,2.988839
Wrist,190,0.558502,10.342872,2.979978
Wrist,191,0.40001,10.391151,3.061025
Wrist,192,0.3249,10.318488,3.13234
Wrist,193,0.227128,10.109717,3.10143
Wrist,194,0.197942,9.869814,3.077351
Wrist,195,0.188052,9.692458,2.984651
Wrist,196,0.198862,9.863004,3.175327
Wrist,197,0.308998,10.397827,3.435306
Wrist,198,0.509522,10.830965,3.463471
Wrist,199,0.519756,10.610456,3.493768
Wrist,200,0.636402,10.675394,3.402386
Wrist,201,0.675489,10.442048,3.38748
Wrist,202,0.676465,10.500147,3.438775
Wrist,203,0.671865,10.162572,3.325801
Wrist,204,0.64039,9.875735,3.214283
Wrist,205,0.556857,9.732183,3.150239
Wrist,206,0.462036,9.595772,3.105119
