sensor,sample_index,Acc_X,Acc_Y,Acc_Z
Wrist,0,0.31843,6.439231,8.032574
Wrist,1,0.312035,6.5234,8.095264
Wrist,2,0.305727,6.604593,8.098659
Wrist,3,0.263434,6.58751,8.12634
Wrist,4,0.30226,6.667163,8.151746
Wrist,5,0.304998,6.645831,8.14204
Wrist,6,0.293716,6.635251,8.162807
Wrist,7,0.322816,6.586764,8.09684
Wrist,8,0.31462,6.497076,8.11267
Wrist,9,0.351853,6.457713,8.027285
Wrist,10,0.350175,6.547554,8.135071
Wrist,11,0.394478,6.510438,8.255721
Wrist,12,0.471736,6.363054,8.415466
Wrist,13,0.445678,6.063416,8.792266
Wrist,14,0.464438,5.890312,8.769224
Wrist,15,0.339256,5.931103,8.68916
Wrist,16,-0.038612,6.273158,8.664667
Wrist,17,0.160381,6.574341,8.274306
Wrist,18,0.114481,6.635068,8.016666
Wrist,19,0.053931,6.496386,7.634087
Wrist,20,0.060567,6.320978,7.462529
Wrist,21,0.049474,6.476948,7.477427
Wrist,22,-0.019178,6.934786,7.522689
Wrist,23,-0.183333,7.102021,7.915738
Wrist,24,0.192984,7.190953,8.080994
Wrist,25,0.616969,7.279115,8.245435
Wrist,26,0.799517,7.679656,8.450085
Wrist,27,0.731059,8.837294,8.809997
Wrist,28,0.730381,9.274672,8.767152
Wrist,29,0.787483,8.946816,8.527713
Wrist,30,0.557277,8.325155,8.288156
Wrist,31,0.421367,7.697324,8.011569
Wrist,32,0.442998,7.45281,7.871745
Wrist,33,0.623964,7.551881,7.734765
Wrist,34,0.896997,7.727597,7.674303
Wrist,35,1.103083,7.931897,7.754961
Wrist,36,1.363667,7.955515,7.986166
Wrist,37,1.516608,7.904941,8.23557
Wrist,38,1.378088,8.010724,8.265738
Wrist,39,1.218604,8.25202,8.352164
Wrist,40,1.235613,8.452335,8.293493
Wrist,41,1.310686,8.784437,8.231522
Wrist,42,1.428205,8.969699,8.266432
Wrist,43,1.653757,9.039122,8.19025
Wrist,44,2.151214,9.0339,8.011863
Wrist,45,2.550326,8.995816,7.893699
Wrist,46,2.915622,8.880087,7.872098
Wrist,47,3.187366,8.806282,7.856456
Wrist,48,3.4227,8.72979,8.005317
Wrist,49,3.679589,8.934284,7.953877
Wrist,50,3.863989,8.795561,7.930453
Wrist,51,3.842139,8.947977,7.981847
Wrist,52,3.44149,9.83687,8.180155
Wrist,53,2.897853,10.512505,8.300772
Wrist,54,2.657514,10.635416,8.218186
Wrist,55,2.67067,10.552124,7.944768
Wrist,56,2.85246,10.189976,7.516701
Wrist,57,3.11644,9.507936,6.998009
Wrist,58,3.340356,8.695787,6.461329
Wrist,59,3.575382,7.921639,6.053425
Wrist,60,3.662179,7.264707,5.821334
Wrist,61,3.574248,6.477456,5.393259
Wrist,62,3.556095,5.838957,4.952186
Wrist,63,3.515273,5.2048,4.564032
Wrist,64,3.62762,4.499952,3.866697
Wrist,65,3.973624,3.622347,3.044995
Wrist,66,4.232576,2.684223,2.247964
Wrist,67,4.72638,2.122719,1.688823
Wrist,68,5.021696,2.258329,1.355413
Wrist,69,5.054059,2.234111,1.307768
Wrist,70,4.876476,1.786772,1.411924
Wrist,71,4.439474,1.456984,1.19792
Wrist,72,3.53074,1.192535,1.407706
Wrist,73,2.620649,1.536744,1.650995
Wrist,74,1.545461,2.518936,2.380905
Wrist,75,0.322701,4.029973,2.958118
Wrist,76,-0.69369,5.347801,3.244807
Wrist,77,-0.927643,6.751892,3.587961
Wrist,78,-0.703082,8.287924,3.672839
Wrist,79,-0.190536,10.499459,4.028709
Wrist,80,0.184422,11.945733,4.381478
Wrist,81,0.285249,12.751065,4.364621
Wrist,82,0.440027,12.4458,4.069203
Wrist,83,0.438377,11.39609,3.850866
Wrist,84,-0.085205,10.347408,3.917334
Wrist,85,-0.149087,10.016047,4.107344
Wrist,86,-0.031893,9.705306,4.270942
Wrist,87,0.018864,9.164779,4.495119
Wrist,88,0.05155,8.899408,4.691723
Wrist,89,0.345791,8.828367,4.801448
Wrist,90,0.484935,9.070368,4.862506
Wrist,91,0.488937,9.05854,4.837389
Wrist,92,0.469557,9.135424,4.937474
Wrist,93,0.690101,9.12915,4.972066
Wrist,94,0.621791,9.229804,5.363419
Wrist,95,0.540058,10.023982,5.664484
Wrist,96,0.592788,9.638167,5.671679
Wrist,97,0.818663,9.204028,5.275807
Wrist,98,0.903865,8.754833,5.158588
Wrist,99,1.004275,8.511031,5.050748
Wrist,100,1.130191,8.615946,5.086939
Wrist,101,1.162395,10.064098,5.636979
Wrist,102,0.887693,11.358885,5.804861
Wrist,103,1.226271,10.720635,5.15173
Wrist,104,1.200423,9.6215,4.870614
Wrist,105,1.402794,8.816225,4.893937
Wrist,106,1.947812,8.185695,4.632969
Wrist,107,2.30321,8.280098,4.601174
Wrist,108,2.25154,8.384102,4.589115
Wrist,109,2.084537,8.668484,4.629132
Wrist,110,1.97947,9.043849,4.577335
Wrist,111,2.038012,9.080973,4.389934
Wrist,112,2.049019,9.325766,4.444594
Wrist,113,1.966998,9.70502,4.55827
Wrist,114,1.934146,10.196064,4.542293
Wrist,115,2.138238,10.895729,4.657756
Wrist,116,2.362249,11.546557,4.625679
Wrist,117,2.485826,11.553796,4.716586
Wrist,118,2.533904,11.44217,4.702252
Wrist,119,2.426117,11.201522,4.720408
Wrist,120,2.308665,11.030627,4.722383
Wrist,121,2.254315,10.769984,4.752968
Wrist,122,2.132783,10.649268,4.800051
Wrist,123,2.172283,10.604743,5.017081
Wrist,124,2.343197,10.478121,4.963639
Wrist,125,2.582667,10.409887,4.955728
Wrist,126,2.679507,10.323642,5.008625
Wrist,127,2.689763,10.271081,4.831382
Wrist,128,2.663996,10.558615,4.689732
Wrist,129,2.787417,10.685217,4.483363
Wrist,130,2.936541,10.609502,4.240115
Wrist,131,2.860297,10.290348,4.127663
Wrist,132,2.891164,10.126396,4.018056
Wrist,133,3.121169,9.902642,3.892892
Wrist,134,3.125028,9.688411,3.807823
Wrist,135,3.08822,9.651524,3.831981
Wrist,136,3.071463,9.78458,3.769143
Wrist,137,3.206248,9.929592,3.804112
Wrist,138,3.352665,10.013146,3.723372
Wrist,139,3.36803,9.666704,3.578667
Wrist,140,3.374808,9.543111,3.495298
Wrist,141,3.453999,9.243871,3.354101
Wrist,142,3.476196,8.977648,3.307071
Wrist,143,3.567907,8.827772,3.174121
Wrist,144,3.388282,8.797393,3.170421
Wrist,145,3.328476,8.804016,3.258169
Wrist,146,3.288174,8.674851,3.184917
Wrist,147,3.446377,8.570928,2.982103
Wrist,148,3.602399,8.80567,2.954457
Wrist,149,3.647043,8.787781,2.834708
Wrist,150,3.6606,8.711423,2.654834
Wrist,151,3.702889,8.71595,2.570307
Wrist,152,3.848147,8.546337,2.421384
Wrist,153,3.922863,8.237791,2.329042
Wrist,154,3.942445,7.945277,2.316009
Wrist,155,3.872773,7.777857,2.386832
Wrist,156,3.893925,7.584014,2.362138
Wrist,157,3.977583,7.503033,2.4656
Wrist,158,3.995843,7.636102,2.583058
Wrist,159,4.154534,7.694764,2.56421
Wrist,160,4.281763,7.568049,2.634376
Wrist,161,4.394782,7.227738,2.527614
Wrist,162,4.543868,6.610533,2.502087
Wrist,163,4.62545,6.209229,2.490279
Wrist,164,4.627399,6.074918,2.579705
Wrist,165,4.778968,5.969144,2.587117
Wrist,166,4.812303,5.941319,2.707517
Wrist,167,4.781342,6.193185,2.85023
Wrist,168,4.681397,6.253249,2.833502
Wrist,169,4.79829,6.170512,2.766384
Wrist,170,4.766102,6.309893,2.829132
Wrist,171,4.814004,6.429938,2.642669
Wrist,172,4.87273,6.508571,2.512439
Wrist,173,5.03672,6.613943,2.398811
Wrist,174,5.200845,6.640422,2.276053
Wrist,175,5.177541,6.651389,2.185091
Wrist,176,5.211239,6.697834,2.084355
Wrist,177,5.109938,6.925572,2.147162
Wrist,178,5.155276,7.317176,2.195969
Wrist,179,5.110664,7.406443,2.289945
Wrist,180,5.080992,7.35311,2.245393
Wrist,181,5.186334,7.153936,2.210085
Wrist,182,5.317817,6.887694,2.267325
Wrist,183,5.451717,6.629997,2.248572
Wrist,184,5.393414,6.612396,2.330689
Wrist,185,5.535487,6.666216,2.289927
Wrist,186,5.574705,6.829699,2.348948
Wrist,187,5.539798,7.198681,2.510805
Wrist,188,5.625351,7.428494,2.450341
Wrist,189,5.634416,7.412534,2.473481
Wrist,190,5.66744,7.551986,2.411704
Wrist,191,5.718383,7.672046,2.403949
Wrist,192,5.778509,7.72821,2.361311
Wrist,193,5.79133,7.79196,2.293986
Wrist,194,5.800112,7.870602,2.400351
Wrist,195,5.778947,7.818895,2.363848
Wrist,196,5.720722,7.733467,2.362634
Wrist,197,5.688806,7.739725,2.340645
Wrist,198,5.602799,7.736968,2.320688
Wrist,199,5.484032,7.804141,2.334347
Wrist,200,5.37295,7.89304,2.343032
Wrist,201,5.062513,7.909574,2.471742
Wrist,202,4.817495,7.943513,2.545835
Wrist,203,4.72565,7.945569,2.576063
Wrist,204,4.681152,7.810592,2.538929
Wrist,205,4.575921,7.547188,2.560231
Wrist,206,4.50809,7.230895,2.520199
Wrist,207,4.710208,6.875686,2.306409
Wrist,208,4.719015,6.683651,2.337626
Wrist,209,4.707172,6.429236,2.280624
Wrist,210,4.787881,6.251348,2.20133
Wrist,211,4.753896,6.313554,2.10212
Wrist,212,4.593779,6.487672,2.109984
Wrist,213,4.563815,6.680925,2.131174
Wrist,214,4.720805,6.817804,2.127766
Wrist,215,4.774129,6.854347,2.122765
Wrist,216,4.654683,6.908965,2.098379
Wrist,217,4.557466,6.774365,2.05787
Wrist,218,4.532343,6.543805,1.882051
Wrist,219,4.577364,6.408979,1.883936
Wrist,220,4.893672,6.472837,1.938655
Wrist,221,5.05199,6.554104,1.97751
Wrist,222,5.214816,6.696838,2.062685
Wrist,223,5.390151,6.830085,2.11077
Wrist,224,5.362816,7.033475,2.385546
Wrist,225,5.143623,7.102138,2.521417
Wrist,226,4.824847,7.221869,2.671678
Wrist,227,4.515606,7.303528,2.773171
Wrist,228,4.43881,7.554836,2.83893
Wrist,229,4.338381,7.832821,2.864577
Wrist,230,4.172045,8.216652,2.952768
Wrist,231,4.421185,8.521841,2.952732
Wrist,232,4.531134,8.690884,2.868338
Wrist,233,4.523658,8.768628,2.840151
Wrist,234,4.753061,8.725476,2.80669
Wrist,235,4.850706,8.758889,2.767608
Wrist,236,4.846472,8.857263,2.827841
Wrist,237,4.824184,8.978299,2.853112
Wrist,238,4.777815,9.132759,2.889
Wrist,239,4.564458,9.365802,2.931653
Forearm,0,-5.14603,5.401917,6.05361
Forearm,1,-5.143791,5.381662,6.079504
Forearm,2,-5.17044,5.409582,6.14578
Forearm,3,-5.168788,5.412377,6.144709
Forearm,4,-5.203257,5.430814,6.158264
Forearm,5,-5.21309,5.469077,6.25423
Forearm,6,-5.210275,5.47268,6.253423
Forearm,7,-5.234631,5.446604,6.297347
Forearm,8,-5.127519,5.458916,6.301834
Forearm,9,-5.0847,5.456617,6.365299
Forearm,10,-4.997263,5.393858,6.443311
Forearm,11,-5.036105,5.348294,6.558531
Forearm,12,-5.269144,5.153854,6.595095
Forearm,13,-5.5746,5.014782,6.428713
Forearm,14,-5.660557,5.071956,6.394046
Forearm,15,-5.559329,5.408396,6.604875
Forearm,16,-5.275911,5.877788,6.786044
Forearm,17,-4.860761,6.056433,6.487809
Forearm,18,-4.601148,5.94117,6.367549
Forearm,19,-4.654762,5.663733,6.425187
Forearm,20,-4.680309,5.426546,6.513044
Forearm,21,-4.673357,5.32795,6.371956
Forearm,22,-4.802192,5.23889,6.215444
Forearm,23,-4.944674,5.368356,6.319348
Forearm,24,-5.189302,5.491817,6.420051
Forearm,25,-5.508975,5.548154,6.40424
Forearm,26,-5.694253,5.734935,6.445055
Forearm,27,-5.566446,5.900952,6.372684
Forearm,28,-5.192469,5.843723,6.407949
Forearm,29,-4.841033,5.631446,6.549478
Forearm,30,-4.476912,5.496562,6.513958
Forearm,31,-4.278847,5.382841,6.458461
Forearm,32,-4.39561,5.563876,6.634004
Forearm,33,-4.5382,5.663687,6.832505
Forearm,34,-4.556594,5.78941,6.935138
Forearm,35,-4.585854,5.807327,7.042922
Forearm,36,-4.720569,5.631241,7.114701
Forearm,37,-4.731339,5.457173,7.117614
Forearm,38,-4.548246,5.42978,6.980201
Forearm,39,-4.424799,5.586456,6.991067
Forearm,40,-4.26586,5.820808,7.126864
Forearm,41,-4.122507,5.892038,7.24234
Forearm,42,-4.087274,5.983507,7.386132
Forearm,43,-4.104329,6.051205,7.474372
