sensor,sample_index,Acc_X,Acc_Y,Acc_Z
Wrist,0,2.238795,11.506587,1.149058
Wrist,1,2.164572,10.649981,0.927938
Wrist,2,2.190715,10.006295,0.806279
Wrist,3,2.08411,9.874933,0.76375
Wrist,4,1.97764,10.153931,0.76115
Wrist,5,2.096664,10.680152,0.98991
Wrist,6,2.142471,11.094622,1.238378
Wrist,7,2.085251,11.222801,1.365554
Wrist,8,1.775178,11.336555,1.499299
Wrist,9,1.574369,11.423886,1.713155
Wrist,10,1.497442,11.782012,1.958824
Wrist,11,1.510872,11.74787,1.877546
Wrist,12,1.635712,11.836293,1.86115
Wrist,13,1.665616,12.198632,1.901752
Wrist,14,1.677969,12.211751,1.875287
Wrist,15,1.641688,12.063708,1.794799
Wrist,16,1.681279,11.798703,1.670902
Wrist,17,1.576284,11.545353,1.589776
Wrist,18,1.406092,11.439175,1.600042
Wrist,19,1.241919,11.288418,1.53421
Wrist,20,1.074433,11.039098,1.44647
Wrist,21,1.057104,10.76715,1.335962
Wrist,22,1.03406,10.857081,1.373186
Wrist,23,0.965299,10.895961,1.351465
Wrist,24,0.981272,10.730588,1.351495
Wrist,25,0.83685,10.653918,1.353753
Wrist,26,0.758959,10.418411,1.34327
Wrist,27,0.634115,10.13212,1.276032
Wrist,28,0.546774,10.040267,1.254051
Wrist,29,0.499956,9.857689,1.245286
Wrist,30,0.457654,9.751596,1.246796
Wrist,31,0.367396,9.628229,1.178995
Wrist,32,0.339043,9.379296,1.081679
Wrist,33,0.348306,9.357209,1.070222
Wrist,34,0.290068,9.461894,1.137216
Wrist,35,0.286815,9.594906,1.142049
Wrist,36,0.269032,9.564506,1.094551
Wrist,37,0.23778,9.490521,1.13723
Wrist,38,0.211865,9.459807,1.148974
Wrist,39,0.135268,9.707645,1.212266
Wrist,40,0.186376,9.702381,1.221042
Wrist,41,0.248774,9.542566,1.209146
Wrist,42,0.22703,9.511801,1.16671
Wrist,43,0.267061,9.715957,1.246249
Wrist,44,0.314776,9.722335,1.281479
Wrist,45,0.388988,9.726356,1.264906
Wrist,46,0.408431,9.713141,1.289401
Wrist,47,0.407203,9.702195,1.258106
Wrist,48,0.411922,9.799977,1.281841
Wrist,49,0.412051,9.865168,1.316256
Wrist,50,0.387796,9.867392,1.261905
Wrist,51,0.340095,9.936959,1.293581
Wrist,52,0.438857,9.938615,1.280784
Wrist,53,0.539118,10.005281,1.355794
Wrist,54,0.581905,9.902498,1.339309
Wrist,55,0.558353,9.882599,1.328943
Wrist,56,0.533141,9.873699,1.350115
Wrist,57,0.512704,9.919322,1.370676
Wrist,58,0.491143,9.943163,1.380606
Wrist,59,0.485347,9.845035,1.359778
Wrist,60,0.514273,9.853257,1.34208
Wrist,61,0.535489,9.796129,1.346053
Wrist,62,0.558772,9.749872,1.328933
Wrist,63,0.585203,9.736327,1.301078
Wrist,64,0.659237,9.71839,1.275603
Wrist,65,0.616364,9.799,1.284495
Wrist,66,0.574935,9.868937,1.259912
Wrist,67,0.576295,9.923062,1.315039
Wrist,68,0.602594,9.942297,1.32877
Wrist,69,0.62529,9.896322,1.309903
Wrist,70,0.670704,9.891161,1.369861
Wrist,71,0.644296,9.882158,1.392076
Wrist,72,0.639127,9.827445,1.394073
Wrist,73,0.589264,9.777657,1.337867
Wrist,74,0.605293,9.709882,1.361877
Wrist,75,0.636663,9.740513,1.298948
Wrist,76,0.631358,9.708045,1.308706
Wrist,77,0.659774,9.749777,1.276453
Wrist,78,0.661845,9.804641,1.274699
Wrist,79,0.686503,9.86798,1.307409
Wrist,80,0.689574,9.944505,1.317228
Wrist,81,0.642221,9.981866,1.303307
Wrist,82,0.613858,9.940412,1.282637
Wrist,83,0.659271,9.859577,1.224451
Wrist,84,0.585717,9.930811,1.30993
Wrist,85,0.608737,9.939018,1.346123
Wrist,86,0.571292,10.052061,1.344958
Wrist,87,0.561836,10.007721,1.43381
Wrist,88,0.526557,9.889713,1.455633
Wrist,89,0.495941,9.771997,1.423047
Wrist,90,0.468796,9.751748,1.46722
Wrist,91,0.442538,9.699233,1.466792
Wrist,92,0.444121,9.709399,1.501853
Wrist,93,0.442096,9.654602,1.503082
Wrist,94,0.495183,9.638953,1.475283
Wrist,95,0.499018,9.660494,1.486372
Wrist,96,0.525683,9.690458,1.531283
Wrist,97,0.50176,9.649635,1.505146
Wrist,98,0.432138,9.710982,1.552211
Wrist,99,0.439648,9.733254,1.506705
Wrist,100,0.469733,9.763753,1.496278
Wrist,101,0.446238,9.712252,1.437753
Wrist,102,0.491926,9.674985,1.450596
Wrist,103,0.492365,9.675259,1.448621
Wrist,104,0.503773,9.773658,1.414519
Wrist,105,0.524327,9.728399,1.391232
Wrist,106,0.523126,9.696534,1.344069
Wrist,107,0.525688,9.762092,1.374389
Wrist,108,0.523129,9.805588,1.449027
Wrist,109,0.523446,9.794949,1.416014
Wrist,110,0.570004,9.800693,1.454579
Wrist,111,0.589841,9.732694,1.427242
Wrist,112,0.586274,9.75342,1.497645
Wrist,113,0.58959,9.77502,1.457663
Wrist,114,0.596318,9.894381,1.492761
Wrist,115,0.622708,9.946872,1.493302
Wrist,116,0.609183,10.123667,1.522704
Wrist,117,0.59008,10.224394,1.540173
Wrist,118,0.652453,10.350878,1.499345
Wrist,119,0.76254,10.428938,1.442053
Wrist,120,0.841182,10.464718,1.472563
Wrist,121,0.890115,10.656826,1.471816
Wrist,122,0.916597,10.86116,1.505856
Wrist,123,0.98544,11.487854,1.575156
Wrist,124,1.157115,12.60572,1.710064
Wrist,125,1.358309,13.518518,1.795831
Wrist,126,1.330072,13.287548,1.769034
Wrist,127,1.412392,12.277138,1.652472
Wrist,128,1.474377,10.934564,1.614949
Wrist,129,1.430759,9.77711,1.761136
Wrist,130,1.511888,9.063623,2.043962
Wrist,131,1.618867,8.74452,2.429034
Wrist,132,1.696955,9.20028,2.800164
Wrist,133,2.102169,9.661223,3.310992
Wrist,134,2.793729,10.325017,3.612795
Wrist,135,3.365836,11.536886,4.051791
Wrist,136,3.859956,12.457443,4.49555
