sensor,sample_index,Acc_X,Acc_Y,Acc_Z
Wrist,0,1.776986,11.630688,3.965092
Wrist,1,1.838963,11.262404,4.077834
Wrist,2,1.763134,11.072392,4.231509
Wrist,3,1.808183,10.710671,4.274562
Wrist,4,1.849704,10.941299,4.391643
Wrist,5,1.89352,11.564378,4.593276
Wrist,6,1.775021,12.040004,4.589177
Wrist,7,1.7271,12.458198,4.550204
Wrist,8,1.611124,12.800099,4.499696
Wrist,9,1.560517,12.840901,4.194144
Wrist,10,1.534249,12.657082,4.079313
Wrist,11,1.519372,12.216041,3.859333
Wrist,12,1.68584,11.81977,3.535366
Wrist,13,1.734891,11.800927,3.393373
Wrist,14,1.637216,11.696293,3.29765
Wrist,15,1.623472,11.462813,3.226378
Wrist,16,1.504672,11.155685,3.204617
Wrist,17,1.625842,10.77221,3.012805
Wrist,18,1.70544,10.27572,2.76419
Wrist,19,1.666656,10.090893,2.859251
Wrist,20,1.807072,9.764048,2.814726
Wrist,21,1.833507,9.418619,2.860359
Wrist,22,1.880079,9.331319,3.0336
Wrist,23,1.994861,8.951789,3.016496
Wrist,24,2.176142,8.758717,3.024994
Wrist,25,2.315158,8.565296,3.133406
Wrist,26,2.209801,8.464424,3.238254
Wrist,27,2.244622,8.612966,3.347313
Wrist,28,2.151161,8.720014,3.369447
Wrist,29,2.117801,8.897266,3.150501
Wrist,30,2.25009,8.855602,2.701694
Wrist,31,2.276331,8.997874,2.675001
Wrist,32,2.336898,8.914549,2.567357
Wrist,33,2.407354,8.862412,2.55772
Wrist,34,2.531772,8.844422,2.613323
Wrist,35,2.616721,8.663145,2.516158
Wrist,36,2.494846,8.862588,2.703872
Wrist,37,2.655331,8.959221,2.583589
Wrist,38,2.841638,9.133334,2.498171
Wrist,39,3.158711,9.375124,2.311406
Wrist,40,3.394598,9.591045,2.218893
Wrist,41,3.563488,9.62312,2.118499
Wrist,42,3.361472,9.470326,2.30519
Wrist,43,3.164428,9.253227,2.356096
Wrist,44,3.115264,9.211234,2.588719
Wrist,45,3.31487,9.107441,2.667594
Wrist,46,3.640407,9.033759,2.599916
Wrist,47,3.843951,8.742924,2.402247
Wrist,48,3.815204,8.679377,2.456576
Wrist,49,3.802758,8.587465,2.456776
Wrist,50,3.688999,8.498895,2.440206
Wrist,51,3.633242,8.797889,2.532323
Wrist,52,3.569199,9.017349,2.557441
Wrist,53,3.725918,9.012591,2.456011
Wrist,54,3.762482,8.868393,2.247493
Wrist,55,3.699846,8.630892,2.072683
Wrist,56,3.83466,8.402519,1.894835
Wrist,57,3.956283,7.981282,1.774953
Wrist,58,4.32533,7.568752,1.540443
Wrist,59,4.418419,7.025012,1.295669
Wrist,60,4.292231,6.741234,1.299591
Wrist,61,4.296161,6.709357,1.367227
Wrist,62,4.243245,6.621638,1.322899
Wrist,63,4.288906,6.820894,1.389817
Wrist,64,4.462903,7.19204,1.505236
Wrist,65,4.513155,7.293419,1.558815
Wrist,66,4.618889,7.283884,1.60278
Wrist,67,4.648855,7.260046,1.669397
Wrist,68,4.69841,7.057443,1.745075
Wrist,69,4.637104,6.636749,1.653643
Wrist,70,4.747576,6.400133,1.730772
Wrist,71,4.787046,6.371263,1.78121
Wrist,72,4.780129,6.396298,1.801139
Wrist,73,4.88159,6.554514,1.930001
Wrist,74,4.843309,6.636748,2.067135
Wrist,75,4.814271,6.791287,2.19101
Wrist,76,4.855139,6.78866,2.081904
Wrist,77,4.8129,6.826157,1.85184
Wrist,78,4.793796,7.045423,1.785477
Wrist,79,4.811855,7.269518,1.637642
Wrist,80,4.675167,7.492655,1.489589
Wrist,81,4.63121,7.753353,1.473507
Wrist,82,4.555512,7.903566,1.383152
Wrist,83,4.446227,8.103665,1.389105
Wrist,84,4.406413,8.36505,1.497963
Wrist,85,4.518959,8.542994,1.549596
Wrist,86,4.535332,8.716965,1.643038
Wrist,87,4.530611,8.84003,1.852414
Wrist,88,4.421477,8.832741,1.978625
Wrist,89,4.353022,8.783156,2.059249
Wrist,90,4.318462,8.73621,2.185162
Wrist,91,4.367675,8.67088,2.152141
Wrist,92,4.29693,8.599272,2.134372
Wrist,93,4.227633,8.450564,1.977657
Wrist,94,4.164204,8.382691,1.977336
Wrist,95,3.961654,8.360544,1.983424
Wrist,96,3.678714,8.427941,2.006061
Wrist,97,3.420099,8.351258,1.948601
Wrist,98,3.183545,8.26111,1.840748
Wrist,99,2.894002,8.092283,1.556586
Wrist,100,2.845617,7.88559,1.247665
Wrist,101,3.196618,7.697523,0.927531
Wrist,102,3.409536,7.449403,0.987137
Wrist,103,3.785054,7.383688,0.940016
Wrist,104,4.00991,7.259339,1.002675
Wrist,105,4.191852,7.157184,1.145886
Wrist,106,4.106379,7.145056,1.293929
Wrist,107,3.735497,7.242645,1.668716
Wrist,108,3.640098,7.279573,1.783494
Wrist,109,3.508291,7.296267,1.630648
Wrist,110,3.258627,7.013097,1.268972
Wrist,111,3.389704,7.52926,1.565591
