sensor,sample_index,Acc_X,Acc_Y,Acc_Z
Wrist,0,2.300139,11.865313,3.797558
Wrist,1,1.939436,12.749258,4.13869
Wrist,2,2.049801,13.021174,3.900582
Wrist,3,2.134808,12.845241,3.640495
Wrist,4,2.3204,12.219556,3.340222
Wrist,5,2.431355,11.529984,3.112303
Wrist,6,2.557148,11.14526,3.013361
Wrist,7,2.530452,11.309821,3.234181
Wrist,8,2.581001,11.632067,3.414421
Wrist,9,2.616443,11.632352,3.54277
Wrist,10,2.614424,11.502956,3.552805
Wrist,11,2.679428,11.333434,3.459286
Wrist,12,2.975482,10.74792,3.225536
Wrist,13,3.347678,10.258865,3.032813
Wrist,14,3.38549,10.012296,3.00679
Wrist,15,3.492946,9.787421,2.916182
Wrist,16,3.494871,9.658265,2.871466
Wrist,17,3.511305,9.710907,2.879769
Wrist,18,3.342511,9.821097,2.899989
Wrist,19,3.329929,9.835389,2.767954
Wrist,20,3.278639,9.715084,2.711249
Wrist,21,3.281287,9.865373,2.833048
Wrist,22,3.621596,9.794031,2.843653
Wrist,23,3.66628,9.543674,2.798005
Wrist,24,3.857302,9.071089,2.627005
Wrist,25,3.90581,8.321092,2.487531
Wrist,26,3.87147,7.910279,2.518011
Wrist,27,3.822328,7.739397,2.423661
Wrist,28,3.582101,7.738092,2.558262
Wrist,29,3.65468,7.620441,2.61123
Wrist,30,3.82305,7.366603,2.564739
Wrist,31,3.962447,7.211934,2.54283
Wrist,32,4.219431,7.063279,2.523377
Wrist,33,4.288494,6.842486,2.494546
Wrist,34,4.395145,6.629429,2.387434
Wrist,35,4.497186,6.31668,2.318202
Wrist,36,4.655257,6.141566,2.193735
Wrist,37,4.667363,5.879098,2.076898
Wrist,38,4.596348,6.074763,2.063018
Wrist,39,4.62832,6.311031,2.096201
Wrist,40,4.495049,6.68572,2.087198
Wrist,41,4.255816,7.197904,2.184186
Wrist,42,4.276958,7.387255,2.133924
Wrist,43,4.224876,7.371397,2.098794
Wrist,44,4.328708,7.216003,2.003781
Wrist,45,4.435916,6.885253,1.870942
Wrist,46,4.467431,6.757902,1.831859
Wrist,47,4.535484,6.626138,1.804119
Wrist,48,4.568457,6.543304,1.796928
