sensor,sample_index,Acc_X,Acc_Y,Acc_Z
Wrist,0,2.030882,6.861689,1.973846
Wrist,1,2.141732,6.950188,1.924043
Wrist,2,2.311197,6.94536,1.872482
Wrist,3,2.219117,7.005234,1.849032
Wrist,4,2.121209,6.823881,1.670291
Wrist,5,1.698782,7.143824,1.773068
Wrist,6,1.26097,7.550266,2.105914
Wrist,7,1.152681,8.462568,2.381457
Wrist,8,1.245801,9.065086,2.468627
Wrist,9,1.650723,9.107815,2.251757
Wrist,10,1.909408,8.863504,2.074026
Wrist,11,1.973277,8.654583,1.942126
Wrist,12,1.921741,8.735315,1.98079
Wrist,13,1.851853,8.816873,2.11072
Wrist,14,1.625214,8.968809,2.372064
Wrist,15,1.54772,8.917088,2.420883
Wrist,16,1.476569,8.821805,2.595971
Wrist,17,1.438985,8.899092,2.541912
Wrist,18,1.454024,9.003023,2.534922
Wrist,19,1.564358,8.904308,2.454522
Wrist,20,1.477062,8.788596,2.462783
Wrist,21,1.392001,8.81755,2.353646
Wrist,22,1.551164,8.957641,2.398338
Wrist,23,1.540449,9.236979,2.434316
Wrist,24,1.442494,9.48537,2.524357
Wrist,25,1.421331,9.51742,2.445677
Wrist,26,1.291998,9.688989,2.537807
Wrist,27,1.372536,9.898185,2.502491
Wrist,28,1.511152,9.889079,2.396095
Wrist,29,1.511792,10.003066,2.442845
Wrist,30,1.552,10.15088,2.451648
Wrist,31,1.53165,10.236719,2.438012
Wrist,32,1.564417,10.191859,2.406179
Wrist,33,1.64759,9.875109,2.390236
Wrist,34,1.688566,9.550023,2.343289
Wrist,35,1.639254,9.254969,2.391149
Wrist,36,1.630374,8.958412,2.356574
Wrist,37,1.61564,8.698883,2.365731
Wrist,38,1.662257,8.585807,2.455329
Wrist,39,1.595039,8.662355,2.559593
Wrist,40,1.687479,8.84412,2.614009
Wrist,41,1.719975,9.046283,2.557572
Wrist,42,1.699373,9.157461,2.552293
Wrist,43,1.690983,9.341677,2.486443
Wrist,44,1.648505,9.26198,2.36852
Wrist,45,1.590052,9.083834,2.312594
Wrist,46,1.567318,8.946096,2.281314
Wrist,47,1.230699,11.276308,3.831383
Wrist,48,1.502958,11.775962,3.337614
Wrist,49,1.858157,17.230837,5.744253
Wrist,50,5.080461,13.564734,-0.367625
Wrist,51,1.557851,11.063083,1.638318
Wrist,52,0.466139,9.283858,2.620279
Wrist,53,2.00171,8.173357,2.217381
Wrist,54,2.524225,8.654472,2.186146
Wrist,55,2.218003,9.191887,2.565741
Wrist,56,2.572229,9.84963,2.676662
Wrist,57,2.093872,9.411388,2.495093
Wrist,58,2.217578,9.752651,2.252016
Wrist,59,2.148191,9.929921,2.297272
Wrist,60,2.192398,9.757092,2.272011
Wrist,61,2.086825,9.640313,2.547348
Wrist,62,2.084047,9.434991,2.68211
Wrist,63,2.099159,9.276436,2.757542
Wrist,64,2.200036,9.297328,2.823791
Wrist,65,2.196592,9.227805,2.874437
Wrist,66,1.904766,9.282362,2.864965
Wrist,67,1.868465,9.532401,2.90342
Wrist,68,1.740634,9.54183,2.763783
Wrist,69,1.611046,10.053404,2.672858
Wrist,70,1.614409,10.56584,2.614691
Wrist,71,1.653615,11.027932,2.391723
Wrist,72,1.6952,10.985714,2.263507
Wrist,73,1.46278,11.37726,2.434169
Wrist,74,1.670794,11.469546,2.328531
Wrist,75,1.853201,11.003221,2.125007
Wrist,76,1.930861,10.990723,2.286221
Wrist,77,1.927518,11.515344,2.325079
Wrist,78,1.835787,11.143073,2.207505
Wrist,79,1.919177,11.06346,2.253049
Wrist,80,1.939024,10.994769,2.280087
Wrist,81,2.192532,10.703588,2.291026
Wrist,82,2.236706,10.69227,2.367675
Wrist,83,2.287302,10.766364,2.253606
Wrist,84,2.314331,11.068038,2.315649
Wrist,85,2.534806,11.296845,2.294598
Wrist,86,2.691559,11.38869,2.232304
Wrist,87,2.591567,11.542342,2.31565
Wrist,88,2.529218,11.603177,2.360037
