sensor,sample_index,Acc_X,Acc_Y,Acc_Z
Wrist,0,2.258118,8.078492,1.561741
Wrist,1,2.382308,8.076072,1.43061
Wrist,2,2.344767,8.148174,1.444516
Wrist,3,2.309537,8.049057,1.390166
Wrist,4,2.372662,7.664244,1.366112
Wrist,5,2.469605,7.066456,1.256362
Wrist,6,2.588135,6.733513,1.2434
Wrist,7,2.850606,6.697244,1.317703
Wrist,8,2.854802,6.582269,1.534684
Wrist,9,2.923876,6.462961,1.679604
Wrist,10,3.039843,6.307858,1.641896
Wrist,11,3.065713,6.454483,1.684627
Wrist,12,3.058856,6.72394,1.817847
Wrist,13,3.072704,7.111936,1.852131
Wrist,14,2.886262,7.633243,1.942407
Wrist,15,2.947864,8.068996,1.940345
Wrist,16,3.02882,8.455203,1.893771
Wrist,17,3.00231,8.961749,1.828528
Wrist,18,3.116427,8.788639,1.623726
Wrist,19,2.978993,8.60135,1.543503
Wrist,20,2.784761,8.716065,1.504452
Wrist,21,2.759478,8.875296,1.435463
Wrist,22,2.702845,9.1093,1.429712
Wrist,23,2.664096,9.183208,1.366552
Wrist,24,2.575807,9.244888,1.319777
Wrist,25,2.499224,9.483152,1.322189
Wrist,26,2.33387,9.749997,1.359148
Wrist,27,2.199615,9.899571,1.432636
Wrist,28,2.067779,9.870249,1.516989
Wrist,29,1.860959,9.955398,1.62768
Wrist,30,1.746927,9.878032,1.743424
Wrist,31,1.636883,9.799901,1.859583
Wrist,32,1.500081,9.716721,2.020954
Wrist,33,1.415808,9.555603,2.102168
Wrist,34,1.370781,9.185256,2.081647
Wrist,35,1.436446,8.927986,2.143423
Wrist,36,1.605341,8.715828,2.115471
Wrist,37,1.721609,8.380961,2.088854
Wrist,38,1.601816,8.287825,2.115161
Wrist,39,1.492685,8.409892,2.308386
Wrist,40,1.681467,8.467036,2.436227
Wrist,41,1.945808,8.393381,2.502936
Wrist,42,2.158845,8.457014,2.719447
Wrist,43,2.341883,8.340518,2.637095
Wrist,44,2.861987,8.246951,2.568051
Wrist,45,3.018971,8.326356,2.463238
Wrist,46,2.928312,8.273527,2.346613
Wrist,47,2.902949,8.363241,2.225918
Wrist,48,2.748618,8.589518,2.218484
Wrist,49,2.829947,8.71925,2.071836
Wrist,50,2.992518,8.854591,2.02093
Wrist,51,3.078541,8.663427,1.864479
Wrist,52,3.355318,8.274895,1.590269
Wrist,53,3.582374,7.977439,1.299416
Wrist,54,3.592212,7.951147,1.119076
Wrist,55,3.489855,8.104341,1.065244
Wrist,56,3.40603,8.411868,1.02836
Wrist,57,3.70093,8.943065,1.036747
Wrist,58,3.948989,9.18813,0.953671
Wrist,59,3.791848,9.328291,1.073223
Wrist,60,3.533996,9.192185,1.146861
Wrist,61,3.364072,9.023689,1.042003
Wrist,62,3.137635,8.947022,0.989326
Wrist,63,3.053232,9.02219,0.955157
Wrist,64,3.240565,8.97301,0.833779
Wrist,65,3.229411,8.803252,0.673145
Wrist,66,3.105462,8.794321,0.599639
Wrist,67,3.015786,8.912475,0.676228
Wrist,68,2.788131,8.971893,0.698721
Wrist,69,2.527292,8.720872,0.688096
Wrist,70,2.666692,8.641436,0.645241
Wrist,71,2.960751,8.537853,0.48194
Wrist,72,3.023075,8.192147,0.263368
Wrist,73,3.243418,8.273627,0.144314
Wrist,74,3.431266,8.656627,0.239896
Wrist,75,3.483991,8.896498,0.354461
Wrist,76,3.397098,8.940943,0.407662
Wrist,77,3.196871,8.950138,0.389781
Wrist,78,2.980036,8.911256,0.459466
