sensor,sample_index,Acc_X,Acc_Y,Acc_Z
Wrist,0,2.732976,10.431961,2.5656
Wrist,1,2.561485,10.348472,2.384994
Wrist,2,2.3358,10.079476,2.144216
Wrist,3,2.250112,9.902527,2.039565
Wrist,4,2.267528,10.001274,1.998476
Wrist,5,2.40657,10.036151,1.934555
Wrist,6,2.615012,10.095033,1.91912
Wrist,7,3.01887,9.422253,1.52516
Wrist,8,3.283867,9.468058,1.151061
Wrist,9,2.669694,10.496452,1.665133
Wrist,10,2.267672,10.618661,1.961226
Wrist,11,2.303308,10.266723,2.011667
Wrist,12,2.459195,9.942471,2.122854
Wrist,13,2.778725,9.199761,2.00271
Wrist,14,3.221922,8.447396,1.676148
Wrist,15,3.437242,7.999583,1.511422
Wrist,16,3.425436,7.759336,1.455935
Wrist,17,3.258492,7.628306,1.431942
Wrist,18,3.0855,7.744052,1.606179
Wrist,19,3.14724,8.073425,1.612979
Wrist,20,3.113603,8.158939,1.599892
Wrist,21,3.18246,7.884935,1.422407
Wrist,22,3.281222,7.841467,1.311401
Wrist,23,3.370142,7.647182,1.073833
Wrist,24,3.30341,7.657764,1.009283
Wrist,25,3.165042,7.533058,1.066666
Wrist,26,3.260077,7.346322,1.011938
Wrist,27,3.385863,7.098631,0.851069
Wrist,28,3.283282,6.887239,0.791165
Wrist,29,3.339591,6.981859,0.923497
Wrist,30,3.30603,6.945187,0.992572
Wrist,31,3.397646,6.967959,1.094264
Wrist,32,3.461114,7.233424,1.251716
Wrist,33,3.508279,7.376088,1.359619
Wrist,34,3.423366,7.310691,1.422369
Wrist,35,3.360465,7.493255,1.466025
Wrist,36,3.323238,7.771588,1.597785
Wrist,37,3.336424,7.77611,1.578781
Wrist,38,3.42806,7.695179,1.438671
Wrist,39,3.529493,7.809582,1.395575
Wrist,40,3.590728,8.13747,1.353505
Wrist,41,3.474577,8.286294,1.324135
Wrist,42,3.413839,8.473117,1.269895
Wrist,43,3.274669,8.560121,1.196769
Wrist,44,3.414817,8.767294,1.024928
Wrist,45,3.484284,8.930235,0.966864
Wrist,46,3.380723,9.002661,0.871449
Wrist,47,3.284313,9.014327,0.825589
Wrist,48,3.290013,9.302157,0.787197
Wrist,49,3.219605,9.570586,0.88642
Wrist,50,3.206891,9.795938,1.068172
Wrist,51,3.344543,9.886373,1.089373
Wrist,52,3.386565,9.651043,1.14335
Wrist,53,3.208569,9.523935,1.259113
Wrist,54,3.19527,9.444349,1.323861
