sensor,sample_index,Acc_X,Acc_Y,Acc_Z
Wrist,0,2.990741,8.044184,1.768592
Wrist,1,2.967299,7.886823,1.816834
Wrist,2,2.980302,7.80257,1.886041
Wrist,3,2.978227,7.581487,1.879527
Wrist,4,3.063384,7.369427,1.837023
Wrist,5,3.163764,7.19273,1.805964
Wrist,6,3.29107,7.055727,1.862399
Wrist,7,3.301961,6.922482,1.849595
Wrist,8,3.401434,6.715203,1.727077
Wrist,9,3.475016,6.685243,1.800515
Wrist,10,3.479811,6.658902,1.773789
Wrist,11,3.528917,6.559288,1.666661
Wrist,12,3.429392,6.596543,1.703543
Wrist,13,3.548531,6.828485,1.718363
Wrist,14,3.773476,7.046435,1.782245
Wrist,15,3.758286,7.019132,1.736718
Wrist,16,3.739283,7.033853,1.732244
Wrist,17,3.791573,7.036331,1.728253
Wrist,18,3.890785,7.096173,1.776953
Wrist,19,3.899006,7.2395,1.801003
Wrist,20,3.875193,7.37988,1.961247
Wrist,21,3.814576,7.513618,2.047673
Wrist,22,3.666981,7.779544,2.16725
Wrist,23,3.610781,7.86949,2.270366
Wrist,24,3.642689,7.974706,2.305643
Wrist,25,3.713373,8.162148,2.329436
Wrist,26,3.599621,8.159118,2.288075
Wrist,27,3.485669,8.156735,2.243727
Wrist,28,3.529068,8.293849,2.202705
Wrist,29,3.594027,8.38542,2.092992
Wrist,30,3.776434,8.730055,2.154217
Wrist,31,3.974828,8.944941,2.214089
Wrist,32,3.937371,8.795288,2.211849
Wrist,33,3.844855,8.765498,2.272145
Wrist,34,3.867569,8.722236,2.247796
Wrist,35,3.797444,8.6347,2.222846
Wrist,36,3.732303,8.588833,2.096913
Wrist,37,4.008652,8.575429,1.947789
Wrist,38,4.234103,8.775372,1.815034
Wrist,39,4.111761,8.89177,1.778363
Wrist,40,4.153477,8.947893,1.780165
Wrist,41,4.143681,9.060424,1.818499
Wrist,42,3.972906,9.000961,1.792306
Wrist,43,3.847578,9.032334,1.966903
Wrist,44,3.761689,9.143258,2.000257
Wrist,45,3.65485,8.874347,2.050457
Wrist,46,3.432374,8.742348,2.108313
Wrist,47,3.296902,8.603901,2.05253
Wrist,48,3.150901,8.4482,2.030162
Wrist,49,3.093682,8.267296,2.031596
Wrist,50,3.153442,8.041877,1.924111
Wrist,51,3.186039,7.920756,1.871042
Wrist,52,3.334484,7.890662,1.696886
Wrist,53,3.50864,8.030587,1.510907
Wrist,54,3.577963,8.162645,1.412893
Wrist,55,3.473153,8.354793,1.226387
Wrist,56,3.24962,8.374489,1.085448
Wrist,57,3.139792,8.34867,0.981224
Wrist,58,3.082938,8.277638,0.75926
Wrist,59,3.173817,8.126059,0.721231
Wrist,60,3.345865,8.096538,0.558458
Wrist,61,3.224919,8.04293,0.543766
Wrist,62,3.153838,7.973731,0.529969
Wrist,63,3.090032,8.003797,0.604785
Wrist,64,3.252083,7.972512,0.558832
Wrist,65,3.726416,8.103698,0.539398
Wrist,66,3.77452,8.414179,0.733461
Wrist,67,3.854034,8.457508,0.870519
Wrist,68,3.907788,8.480165,0.918553
Wrist,69,3.53325,8.682252,0.961941
Wrist,70,3.496257,8.380454,0.845767
Wrist,71,3.719246,8.105634,0.666365
Wrist,72,3.990407,7.960016,0.435752
Wrist,73,4.154136,7.818261,0.192012
Wrist,74,4.236881,7.66848,0.130844
Wrist,75,4.380393,7.738974,0.02165
Wrist,76,4.330112,8.06256,0.179757
Wrist,77,4.310326,8.262897,0.228946
Wrist,78,4.252564,8.561088,0.208726
Wrist,79,4.261472,8.943028,0.49878
Wrist,80,4.422207,9.183044,0.531312
Wrist,81,4.310668,9.128977,0.528031
Wrist,82,4.233792,8.900347,0.44645
Wrist,83,4.238449,8.837405,0.372917
Wrist,84,4.097417,8.741964,0.316079
Wrist,85,3.957671,8.582277,0.237412
Wrist,86,3.941567,8.59925,0.264998
Wrist,87,4.212011,8.847191,0.286892
Wrist,88,4.286681,9.218411,0.45094
Wrist,89,4.248139,9.358164,0.628394
Wrist,90,4.256336,9.329009,0.674201
Wrist,91,4.169842,9.368125,0.705204
Wrist,92,4.062678,9.244317,0.718268
Wrist,93,3.772188,9.17797,0.756256
Wrist,94,3.581291,9.152091,0.810264
Wrist,95,3.472282,9.236802,0.792657
Wrist,96,3.357411,9.266222,0.831596
Wrist,97,3.361267,9.354009,0.823815
Wrist,98,3.352412,9.569315,0.83548
Wrist,99,3.350508,9.730736,0.956156
Wrist,100,3.526939,9.864804,1.041377
Wrist,101,3.516982,10.138976,1.159735
Wrist,102,3.448474,10.202849,1.197543
Wrist,103,3.349037,10.09937,1.294285
Wrist,104,3.234364,9.819752,1.287334
Wrist,105,3.112593,9.408607,1.260673
Wrist,106,2.960833,9.309928,1.186704
Wrist,107,2.817789,9.30354,1.168066
Wrist,108,2.763153,9.474175,1.239155
Wrist,109,2.715537,9.875289,1.272509
Wrist,110,2.674,10.461121,1.428696
Wrist,111,2.732794,11.066969,1.517233
Wrist,112,2.835182,11.366335,1.548974
Wrist,113,2.895676,11.337039,1.653419
Wrist,114,2.992235,11.168426,1.651555
Wrist,115,3.066048,10.929744,1.753087
Wrist,116,3.110005,10.539592,1.909441
Wrist,117,3.158481,10.185637,2.026175
Wrist,118,3.120467,9.882827,2.228999
Wrist,119,2.95192,9.739433,2.544853
Wrist,120,2.881469,9.659252,2.827646
Wrist,121,2.836177,9.65662,2.994492
Wrist,122,2.70701,9.814163,3.091728
Wrist,123,2.622131,9.902612,3.114021
Wrist,124,2.590539,9.812059,3.129989
Wrist,125,2.495423,9.795232,3.108195
Wrist,126,2.452864,9.909803,3.109779
Wrist,127,2.441866,9.949534,3.083841
Wrist,128,2.25274,10.058028,3.225242
Wrist,129,2.010666,10.080675,3.28451
Wrist,130,1.807957,10.235014,3.320444
Wrist,131,1.523821,10.391992,3.397611
Wrist,132,1.435786,10.573582,3.351135
Wrist,133,1.40649,10.530701,3.258881
Wrist,134,1.257435,10.571101,3.178211
