sensor,sample_index,Acc_X,Acc_Y,Acc_Z
Wrist,0,3.13857,9.710308,1.704081
Wrist,1,3.080891,9.503813,1.692717
Wrist,2,3.013048,9.2757,1.681163
Wrist,3,2.99486,9.138901,1.578312
Wrist,4,2.982485,8.960379,1.545859
Wrist,5,3.013469,8.747234,1.412786
Wrist,6,2.921696,8.840249,1.486232
Wrist,7,2.915085,8.754275,1.386128
Wrist,8,2.809566,8.655989,1.312206
Wrist,9,2.80938,8.593146,1.215143
Wrist,10,2.756863,8.445298,1.087467
Wrist,11,2.86928,8.600123,1.048768
Wrist,12,2.848211,8.99731,1.085272
Wrist,13,2.917864,9.041624,1.133366
Wrist,14,2.835066,8.984828,1.103745
Wrist,15,2.89011,8.800062,1.049892
Wrist,16,3.093827,8.31758,1.01908
Wrist,17,3.000681,7.758363,0.958793
Wrist,18,3.017718,7.336536,0.963655
Wrist,19,3.14508,6.991758,0.949047
Wrist,20,3.186218,7.004094,1.04993
Wrist,21,3.052982,7.207953,1.200592
Wrist,22,3.008512,7.175744,1.261944
Wrist,23,3.009722,7.091201,1.270507
Wrist,24,3.074672,7.094429,1.270312
Wrist,25,3.196573,7.036122,1.238163
Wrist,26,3.165949,7.169258,1.246295
Wrist,27,3.396024,7.478896,1.167401
Wrist,28,3.592447,7.517347,1.065586
Wrist,29,3.722387,7.601894,1.085731
Wrist,30,3.771056,7.536493,1.071418
Wrist,31,3.764016,7.431687,1.07861
Wrist,32,3.768602,7.373508,1.096729
Wrist,33,3.816829,7.423516,1.15749
Wrist,34,3.864702,7.600905,1.234155
Wrist,35,3.918936,7.718726,1.33876
Wrist,36,3.989207,8.063034,1.459591
Wrist,37,3.989386,8.250853,1.559673
Wrist,38,4.038131,8.292435,1.545353
Wrist,39,4.080397,8.310982,1.526072
Wrist,40,4.133701,8.387763,1.462721
Wrist,41,4.216783,8.328358,1.385944
Wrist,42,4.222045,8.389948,1.33847
Wrist,43,4.229868,8.487894,1.238694
Wrist,44,4.190652,8.57624,1.247516
Wrist,45,4.243545,8.788796,1.276797
Wrist,46,4.258652,8.827016,1.200267
Wrist,47,4.184252,8.9453,1.237904
Wrist,48,4.200823,9.180549,1.208403
Wrist,49,4.316059,9.147728,1.082374
Wrist,50,4.517096,9.0173,0.932582
Wrist,51,4.536836,9.0587,0.960176
Wrist,52,4.479236,9.075013,0.967589
Wrist,53,4.384777,9.013338,1.028624
Wrist,54,4.335322,8.987223,1.105214
Wrist,55,4.221539,9.126194,1.223035
Wrist,56,4.158174,9.190717,1.25289
Wrist,57,4.14582,9.134002,1.29609
Wrist,58,4.178675,9.087815,1.22496
Wrist,59,4.137303,9.148872,1.23805
Wrist,60,4.097492,9.26333,1.240539
Wrist,61,4.002578,9.158175,1.254817
Wrist,62,3.990692,8.950113,1.15061
Wrist,63,3.819864,8.945154,1.160007
Wrist,64,3.578462,8.938238,1.150166
Wrist,65,3.400953,8.982661,1.179058
Wrist,66,3.261734,8.914042,1.200738
Wrist,67,3.35421,8.913538,1.197409
Wrist,68,3.256487,8.928738,1.25663
Wrist,69,3.103008,8.843331,1.252856
Wrist,70,2.975205,8.724401,1.251327
Wrist,71,2.833345,8.631832,1.268585
Wrist,72,2.6692,8.488897,1.31291
Wrist,73,2.67536,8.377778,1.212648
Wrist,74,2.860863,8.065452,1.08727
Wrist,75,2.908561,7.726478,1.039131
Wrist,76,2.952997,7.532321,1.050681
Wrist,77,2.977565,7.329532,1.133883
Wrist,78,3.006238,7.275351,1.243878
Wrist,79,3.094576,7.266366,1.545804
Wrist,80,3.066229,7.308547,1.756552
Wrist,81,2.985116,7.386836,1.979485
Wrist,82,2.985218,7.46013,2.007331
Wrist,83,3.009555,7.5726,2.061611
Wrist,84,3.073348,7.890807,2.079109
Wrist,85,2.945656,8.360422,2.215313
Wrist,86,3.189766,8.667553,2.298256
Wrist,87,3.223633,8.956697,2.361825
Wrist,88,2.972722,9.270857,2.511429
Wrist,89,2.669609,9.610897,2.601129
Wrist,90,2.783695,9.719585,2.572476
Wrist,91,3.055058,9.619555,2.39368
