sensor,sample_index,Acc_X,Acc_Y,Acc_Z
Wrist,0,3.548395,8.527047,3.810303
Wrist,1,3.622761,8.504074,3.756
Wrist,2,3.512859,8.555968,3.725436
Wrist,3,3.476209,8.628146,3.794229
Wrist,4,3.388613,8.55339,3.749733
Wrist,5,3.436894,8.507766,3.689972
Wrist,6,3.88293,8.874346,3.904251
Wrist,7,4.249559,11.157673,4.816321
Wrist,8,3.473973,11.807367,5.443132
Wrist,9,3.759153,15.11643,6.305506
Wrist,10,3.631723,10.65471,4.743737
Wrist,11,4.33542,9.625403,4.412726
Wrist,12,3.894577,7.962131,4.208712
Wrist,13,3.963494,8.921525,4.325794
Wrist,14,3.837605,7.031267,3.593552
Wrist,15,3.841282,6.926403,3.548841
Wrist,16,3.645929,6.761586,3.439233
Wrist,17,3.458788,7.918486,3.960875
Wrist,18,3.443508,8.181862,4.00209
Wrist,19,3.617929,8.908858,4.012512
Wrist,20,3.601329,9.565844,4.15959
Wrist,21,3.59418,9.984598,4.268855
Wrist,22,3.572915,9.864481,4.332864
Wrist,23,3.537856,9.659249,4.322929
Wrist,24,3.628384,9.764307,4.406511
Wrist,25,3.89923,9.811098,4.265459
Wrist,26,3.606922,10.016965,4.289064
Wrist,27,3.871412,10.808666,4.504464
Wrist,28,3.960441,10.871872,4.482381
Wrist,29,4.134491,10.798237,4.322644
Wrist,30,4.144772,10.836777,4.249379
Wrist,31,4.29668,11.109512,4.271388
Wrist,32,4.37426,11.165751,4.213767
Wrist,33,4.437329,11.018004,4.159708
Wrist,34,4.557648,10.874024,4.06217
Wrist,35,4.572196,10.676071,4.039014
Wrist,36,4.619299,10.503981,3.938815
Wrist,37,4.64945,10.453841,3.875911
Wrist,38,4.633763,10.313368,3.763782
Wrist,39,4.656699,10.318283,3.702919
Wrist,40,4.600551,10.342009,3.727847
Wrist,41,4.496775,10.166451,3.675881
Wrist,42,4.48864,10.069855,3.609632
Wrist,43,4.452128,9.703274,3.530626
Wrist,44,4.406569,9.318592,3.369843
Wrist,45,4.383178,8.817473,3.296761
Wrist,46,4.408886,8.383771,3.10121
Wrist,47,4.395083,8.003618,2.969006
Wrist,48,4.423638,7.839772,2.908631
Wrist,49,4.434796,7.691617,2.881829
Wrist,50,4.411185,7.814593,2.825026
Wrist,51,4.315034,8.205549,2.818563
Wrist,52,4.333746,8.312843,2.708234
Wrist,53,4.380542,8.014891,2.502535
Wrist,54,4.447931,7.52927,2.178232
Wrist,55,4.391315,7.374958,2.075997
Wrist,56,4.366846,6.952233,1.956959
Wrist,57,4.373984,6.454033,1.771467
Wrist,58,4.415863,6.15294,1.840391
Wrist,59,4.469158,5.769635,1.823388
Wrist,60,4.366068,5.343811,1.789807
Wrist,61,4.42375,5.016375,1.825661
Wrist,62,4.497665,4.660214,1.846211
Wrist,63,4.527163,4.572842,1.876105
Wrist,64,4.629297,4.756916,1.984144
Wrist,65,4.764414,5.180524,2.155629
Wrist,66,4.875665,5.581631,2.358362
Wrist,67,4.921894,5.893779,2.486489
Wrist,68,5.017148,6.057699,2.605059
Wrist,69,5.08021,5.946679,2.602961
Wrist,70,5.145968,5.741687,2.500256
Wrist,71,5.100501,5.822343,2.550035
Wrist,72,5.18611,5.902252,2.53805
Wrist,73,5.353867,6.132005,2.584108
Wrist,74,5.443427,6.348634,2.598102
Wrist,75,5.418571,6.767833,2.727288
Wrist,76,5.365354,7.273505,2.834197
Wrist,77,5.389397,7.707993,2.969697
Wrist,78,5.323777,7.999111,3.012718
Wrist,79,5.209243,8.156429,3.03007
Wrist,80,5.27433,8.119889,2.974581
Wrist,81,5.495806,8.001507,2.846903
Wrist,82,5.563925,7.937133,2.768079
Wrist,83,5.628555,7.960127,2.718225
Wrist,84,5.652421,8.010816,2.801385
Wrist,85,5.667546,7.986495,2.786186
Wrist,86,5.656054,7.939997,2.772757
Wrist,87,5.645401,7.920189,2.781668
Wrist,88,5.662202,7.898797,2.874406
Wrist,89,5.642889,7.891785,2.922024
Wrist,90,5.580519,7.799702,2.911047
Wrist,91,5.476839,7.70386,2.904621
Wrist,92,5.375284,7.821616,2.960693
Wrist,93,5.432766,7.831237,2.955257
Wrist,94,5.385139,7.85649,2.931336
Wrist,95,5.182347,8.172439,3.041003
Wrist,96,5.072763,8.269033,3.035991
Wrist,97,5.037826,8.276717,2.975141
Wrist,98,4.828328,8.195405,2.915933
Wrist,99,4.703598,8.067882,2.80106
Wrist,100,4.547698,7.95011,2.670861
Wrist,101,4.426918,7.979682,2.601137
Wrist,102,4.273068,8.074292,2.557509
Wrist,103,4.226651,8.14759,2.454777
Wrist,104,4.038578,8.279313,2.414717
Wrist,105,3.932596,8.475742,2.401926
Wrist,106,3.865061,8.520556,2.331999
Wrist,107,3.763518,8.499271,2.263694
Wrist,108,3.711388,8.477482,2.225631
Wrist,109,3.663867,8.286631,2.067462
Wrist,110,3.785327,8.059055,1.844068
Wrist,111,3.929729,7.809742,1.647857
Wrist,112,4.123297,7.951115,1.526286
Wrist,113,4.171219,8.06176,1.560019
Wrist,114,4.139293,8.150987,1.531703
Wrist,115,4.237232,8.179518,1.566509
Wrist,116,4.15531,8.261214,1.704634
Wrist,117,4.168889,8.235706,1.823943
Wrist,118,4.258514,8.296366,1.853329
Wrist,119,4.383916,8.161029,1.872921
Wrist,120,4.645358,7.866163,1.802407
Wrist,121,4.666559,7.696385,1.877822
Wrist,122,4.874924,7.544598,1.877777
Wrist,123,4.968662,7.492416,1.878635
Wrist,124,4.849725,7.359101,1.833192
Wrist,125,4.799684,7.298575,1.74432
Wrist,126,4.655536,7.288942,1.663243
Wrist,127,4.628927,7.486588,1.616922
Wrist,128,5.03047,7.832262,1.781216
Wrist,129,5.439328,8.044854,1.739285
Wrist,130,5.462987,8.126361,1.846966
Wrist,131,5.46186,7.961458,1.79633
Wrist,132,5.339969,7.747101,1.746228
Wrist,133,5.194365,7.673133,1.833483
Wrist,134,5.181221,7.598381,1.805156
Wrist,135,4.87656,7.683303,1.853977
Wrist,136,4.664405,7.759177,1.781733
Wrist,137,4.704906,7.948609,1.693808
Wrist,138,4.760279,8.083871,1.479181
Wrist,139,4.826226,8.12786,1.407506
Wrist,140,4.935483,8.215465,1.265343
Wrist,141,5.042738,8.022019,1.191152
Wrist,142,5.090348,7.875004,1.213345
Wrist,143,5.005664,7.869741,1.183614
Wrist,144,4.666007,7.7073,1.23576
Wrist,145,4.340646,7.374505,1.202811
Wrist,146,4.057672,7.301542,1.117194
Wrist,147,3.76079,7.481472,1.095063
Wrist,148,3.63074,7.786446,1.079973
Wrist,149,3.556683,8.366711,1.124014
Wrist,150,3.727329,8.833795,1.133744
Wrist,151,3.823108,9.039893,1.156268
Wrist,152,3.800238,9.173311,1.111773
Wrist,153,3.675569,9.194341,1.143363
Wrist,154,3.450384,9.108889,1.123137
Wrist,155,3.156782,9.015629,1.154611
Wrist,156,3.012656,8.87371,1.221388
Wrist,157,2.998205,8.574161,1.149565
Wrist,158,3.098198,8.512192,1.223602
Wrist,159,3.178421,8.63503,1.267984
Wrist,160,3.137302,8.983213,1.444681
Wrist,161,3.0816,9.553023,1.504148
Wrist,162,2.950009,9.921108,1.672924
Wrist,163,2.855594,10.163937,1.739622
Wrist,164,2.692721,10.284236,1.831095
Wrist,165,2.385036,10.157722,1.80917
Wrist,166,2.249749,9.816758,1.751098
Wrist,167,2.368997,9.463833,1.663659
Wrist,168,2.48991,9.55062,1.761605
Wrist,169,2.563514,10.276641,2.069744
Wrist,170,2.447558,11.023769,2.373564
Wrist,171,2.401834,11.579209,2.595573
Wrist,172,2.313585,11.79429,2.726999
Wrist,173,2.23265,11.705645,2.720316
Wrist,174,2.07755,11.364331,2.686685
Wrist,175,2.03292,10.911068,2.488918
Wrist,176,1.954555,10.811445,2.356153
Wrist,177,1.852755,11.034617,2.23952
Wrist,178,1.89402,11.437321,2.281853
Wrist,179,1.860912,11.855556,2.285428
Wrist,180,1.651359,11.915172,2.342745
Wrist,181,1.485192,11.501355,2.212226
Wrist,182,1.352231,10.888608,2.001455
Wrist,183,1.126719,10.562559,1.933583
Wrist,184,0.88372,10.412938,1.925682
Wrist,185,0.978611,11.420505,3.065139
Wrist,186,1.591656,13.577098,4.038911
Wrist,187,1.866288,13.115363,4.171054
Wrist,188,2.368189,12.422041,4.096416
Wrist,189,2.502186,11.78615,4.104793
Wrist,190,2.606334,10.983703,4.018381
Wrist,191,2.275722,10.385521,3.947992
Wrist,192,1.964014,10.01589,3.781558
Wrist,193,1.551569,9.609394,3.452717
Wrist,194,1.178969,9.28526,3.068558
Wrist,195,0.902261,9.076631,2.59212
Wrist,196,0.628293,9.150282,2.352387
Wrist,197,0.414096,9.121324,2.132053
Wrist,198,0.336808,9.243723,1.852157
Wrist,199,0.291587,9.473311,1.737788
Wrist,200,0.186169,9.576143,1.652163
Wrist,201,0.251265,9.808923,1.657669
Wrist,202,0.366611,10.106976,1.799972
Wrist,203,0.482028,10.199776,1.938378
Wrist,204,0.616578,10.151681,2.111485
Wrist,205,0.751979,10.044711,2.310664
Wrist,206,0.888799,9.884748,2.427272
Wrist,207,0.924376,9.780059,2.607421
Wrist,208,0.946114,9.642776,2.784222
Wrist,209,1.01217,9.49329,2.862459
Wrist,210,0.936321,9.403625,2.934601
Wrist,211,0.922491,9.368697,2.942424
Wrist,212,0.842787,9.421734,2.907689
Wrist,213,0.771535,9.492033,2.852038
Wrist,214,0.733971,9.625779,2.765142
Wrist,215,0.70819,9.684524,2.611969
Wrist,216,0.662462,9.671297,2.527856
Wrist,217,0.614392,9.731371,2.478378
Wrist,218,0.602001,9.625783,2.443179
Wrist,219,0.572979,9.652299,2.49001
Wrist,220,0.65379,9.671762,2.528335
Wrist,221,0.734557,9.73133,2.531133
Wrist,222,0.786659,9.670088,2.549371
Wrist,223,0.775422,9.653405,2.569553
Wrist,224,0.813886,9.707406,2.617627
Wrist,225,0.760155,9.685785,2.680444
Wrist,226,0.796414,9.633559,2.658794
Wrist,227,0.802205,9.632402,2.627434
Wrist,228,0.807056,9.681157,2.682674
Wrist,229,0.770385,9.568698,2.624269
Wrist,230,0.742885,9.562076,2.600813
Wrist,231,0.696113,9.581292,2.589299
Wrist,232,0.680111,9.549856,2.586069
Wrist,233,0.67641,9.590874,2.548483
Wrist,234,0.664941,9.592298,2.580324
Wrist,235,0.662337,9.740015,2.610719
Wrist,236,0.661606,9.797242,2.591218
Wrist,237,0.676437,9.755125,2.561755
Wrist,238,0.705269,9.704019,2.572626
Wrist,239,0.668642,9.68102,2.566992
Forearm,0,-0.13128,4.796739,7.975075
Forearm,1,-0.427768,4.970088,8.077203
Forearm,2,-0.678521,5.167133,8.309499
Forearm,3,-0.860102,5.25698,8.308097
Forearm,4,-0.844842,5.175416,8.333606
Forearm,5,-0.770462,4.94928,8.349104
Forearm,6,-0.617658,4.819942,8.43892
Forearm,7,-0.456296,4.658448,8.574148
Forearm,8,-0.687574,4.68525,8.937094
Forearm,9,-0.975311,5.004404,9.227781
Forearm,10,-1.523999,5.570802,9.709257
Forearm,11,-1.605333,5.943582,9.602518
Forearm,12,-0.816742,5.687456,9.312952
Forearm,13,-0.322631,4.466362,9.034486
Forearm,14,-0.018842,3.57117,8.587648
Forearm,15,0.117483,3.55685,8.316481
Forearm,16,0.004177,4.208831,8.385953
Forearm,17,-0.261563,4.687667,8.482566
Forearm,18,-0.590337,4.998153,8.594385
Forearm,19,-0.805047,5.028177,8.589504
Forearm,20,-0.944584,4.82858,8.647704
Forearm,21,-0.965349,4.710006,8.721382
Forearm,22,-0.903048,4.665382,8.65677
Forearm,23,-0.813715,4.640763,8.61123
Forearm,24,-0.760296,4.66365,8.545319
Forearm,25,-0.797392,4.664374,8.51187
Forearm,26,-0.741664,4.839016,8.538907
Forearm,27,-0.699133,5.149735,8.714191
Forearm,28,-0.747243,5.40617,8.837595
Forearm,29,-0.822588,5.559329,8.93642
Forearm,30,-0.770115,5.58921,8.999641
Forearm,31,-0.591101,5.490083,9.117896
Forearm,32,-0.35635,5.360519,9.234748
Forearm,33,-0.136598,5.384792,9.258416
Forearm,34,-0.01773,5.405875,9.201759
Forearm,35,0.055562,5.443138,9.165001
Forearm,36,0.182709,5.430132,9.111277
Forearm,37,0.374231,5.47952,9.089182
Forearm,38,0.498747,5.461864,8.993291
Forearm,39,0.599735,5.45503,8.92434
Forearm,40,0.722194,5.42843,8.879286
Forearm,41,0.860722,5.404757,8.780242
Forearm,42,0.952502,5.481204,8.667568
Forearm,43,1.087808,5.467843,8.633509
Forearm,44,1.20614,5.420584,8.515296
Forearm,45,1.306861,5.324362,8.424867
Forearm,46,1.46687,5.228614,8.268207
Forearm,47,1.629889,5.107646,8.187494
Forearm,48,1.709258,5.064659,8.099548
Forearm,49,1.717426,4.971957,8.020641
Forearm,50,1.816311,5.006726,7.897016
Forearm,51,1.916513,5.053576,7.751959
Forearm,52,2.052243,5.072081,7.631722
Forearm,53,2.125943,5.0949,7.617925
Forearm,54,2.199363,5.029227,7.503915
Forearm,55,2.206674,4.936366,7.365271
Forearm,56,2.185068,4.865981,7.296835
Forearm,57,2.213859,4.808148,7.226741
Forearm,58,2.143151,4.710963,7.174584
Forearm,59,2.184487,4.580774,7.108828
Forearm,60,2.258681,4.416761,6.978324
Forearm,61,2.321139,4.314359,6.851657
Forearm,62,2.330177,4.170128,6.774072
Forearm,63,2.405117,4.018117,6.762702
Forearm,64,2.504837,3.948687,6.658043
Forearm,65,2.574665,3.956806,6.644608
Forearm,66,2.694935,4.104838,6.718759
Forearm,67,2.707989,4.267941,6.747419
Forearm,68,2.71946,4.376503,6.860473
Forearm,69,2.794925,4.460396,6.920249
Forearm,70,2.832093,4.402803,6.981838
Forearm,71,2.855346,4.321743,7.086976
Forearm,72,2.956195,4.248144,7.129235
Forearm,73,2.989374,4.149408,7.255824
Forearm,74,3.011525,4.221499,7.416554
Forearm,75,2.933393,4.385656,7.459977
Forearm,76,2.825236,4.551428,7.52269
Forearm,77,2.730735,4.694663,7.516705
Forearm,78,2.676845,4.811952,7.618319
Forearm,79,2.62505,4.873489,7.660987
Forearm,80,2.628395,4.937188,7.80501
Forearm,81,2.607974,4.940143,7.91295
Forearm,82,2.704706,4.837471,7.964083
Forearm,83,2.771201,4.78334,8.007181
